,id,filepath,site,conf,bbox,bbox_normalized,bbox_true,bbox_dino,Logits,pred_dino
658,ZJ017146,test_features/ZJ017146.jpg,S0162,0.818,"(272, 612, 83, 95)","[0.6333, 0.4962, 0.1072, 0.1685]",True,[265 604  88 108],0.5157238245010376,bird
659,ZJ017147,test_features/ZJ017147.jpg,S0128,0.253,"(118, 591, 55, 43)","[0.9171, 0.3166, 0.07968, 0.1749]",True,,,
660,ZJ017148,test_features/ZJ017148.jpg,S0194,0.637,"(4, 4, 218, 18)","[0, 0, 0.07222, 0.9416]",True,,,
661,ZJ017149,test_features/ZJ017149.jpg,S0041,0.577,"(178, 593, 45, 43)","[0.9203, 0.4833, 0.07968, 0.1472]",True,,,
662,ZJ017150,test_features/ZJ017150.jpg,S0040,0.138,"(291, 4, 227, 673)","[0, 0.5314, 0.7093, 0.4351]",True,,,
663,ZJ017151,test_features/ZJ017151.jpg,S0065,,,,False,,,
664,ZJ017152,test_features/ZJ017152.jpg,S0072,,,,False,,,
665,ZJ017153,test_features/ZJ017153.jpg,S0145,0.56,"(291, 504, 48, 132)","[0.7812, 0.7972, 0.2187, 0.1555]",True,,,
666,ZJ017154,test_features/ZJ017154.jpg,S0082,0.887,"(330, 90, 92, 119)","[0.08958, 0.6037, 0.1322, 0.1851]",True,[326  92  97 121],0.304465651512146,monkey_prosimian
667,ZJ017155,test_features/ZJ017155.jpg,S0011,,,,False,,,
668,ZJ017156,test_features/ZJ017156.jpg,S0189,0.7,"(163, 141, 58, 110)","[0.3805, 0.6625, 0.3277, 0.275]",True,[158 138  65 115],0.37202396988868713,monkey_prosimian
669,ZJ017157,test_features/ZJ017157.jpg,S0012,0.958,"(288, 22, 230, 310)","[0.01874, 0.5259, 0.3312, 0.4407]",True,[284  18 230 318],0.4372267425060272,antelope_duiker
670,ZJ017158,test_features/ZJ017158.jpg,S0116,0.829,"(189, 180, 53, 59)","[0.275, 0.5138, 0.1046, 0.1694]",True,[184 176  61  67],0.4059133231639862,animal
671,ZJ017159,test_features/ZJ017159.jpg,S0116,0.907,"(277, 384, 62, 46)","[0.5937, 0.7583, 0.08437, 0.1944]",True,[271 377  70  60],0.6575682759284973,bird
672,ZJ017160,test_features/ZJ017160.jpg,S0128,0.943,"(231, 4, 108, 179)","[0, 0.6305, 0.2921, 0.3222]",True,[227   0 116 187],0.4529626965522766,monkey_prosimian
673,ZJ017161,test_features/ZJ017161.jpg,S0114,0.0246,"(248, 4, 91, 80)","[0, 0.6777, 0.1375, 0.275]",True,,,
674,ZJ017162,test_features/ZJ017162.jpg,S0082,0.153,"(356, 610, 112, 169)","[0.6312, 0.6518, 0.1843, 0.2222]",True,,,
675,ZJ017163,test_features/ZJ017163.jpg,S0072,0.782,"(387, 366, 61, 250)","[0.377, 0.7092, 0.2687, 0.1277]",True,[386 353  67 125],0.454994797706604,animal
676,ZJ017164,test_features/ZJ017164.jpg,S0040,0.943,"(156, 4, 364, 139)","[0, 0.2814, 0.1531, 0.6888]",True,[167   0 354 136],0.3593445420265198,animal
677,ZJ017165,test_features/ZJ017165.jpg,S0072,0.567,"(124, 4, 395, 112)","[0, 0.2222, 0.125, 0.7462]",True,,,
678,ZJ017166,test_features/ZJ017166.jpg,S0039,0.799,"(420, 569, 99, 154)","[0.5885, 0.7703, 0.1687, 0.1981]",True,[416 564 102 173],0.333236962556839,animal
679,ZJ017167,test_features/ZJ017167.jpg,S0040,0.349,"(289, 5, 229, 949)","[0.001041, 0.5277, 0.9968, 0.4388]",True,,,
680,ZJ017168,test_features/ZJ017168.jpg,S0040,0.0143,"(291, 4, 229, 672)","[0, 0.5314, 0.7083, 0.4388]",True,,,
681,ZJ017169,test_features/ZJ017169.jpg,S0114,0.644,"(130, 4, 200, 399)","[0, 0.3761, 0.6359, 0.6208]",True,,,
682,ZJ017170,test_features/ZJ017170.jpg,S0040,0.482,"(291, 5, 230, 950)","[0.001041, 0.5314, 0.9979, 0.4407]",True,,,
683,ZJ017171,test_features/ZJ017171.jpg,S0087,0.0194,"(93, 4, 23, 13)","[0, 0.7416, 0.1312, 0.2583]",True,,,
684,ZJ017172,test_features/ZJ017172.jpg,S0116,0.926,"(246, 338, 93, 60)","[0.5218, 0.6722, 0.1062, 0.2805]",True,[241 329 102  77],0.648611843585968,bird
685,ZJ017173,test_features/ZJ017173.jpg,S0162,0.267,"(297, 111, 69, 199)","[0.1114, 0.5425, 0.2156, 0.1425]",True,,,
686,ZJ017174,test_features/ZJ017174.jpg,S0067,0.811,"(76, 4, 280, 173)","[0, 0.2, 0.2828, 0.8]",True,[ 67   0 291 181],0.31736788153648376,animal
687,ZJ017175,test_features/ZJ017175.jpg,S0082,0.632,"(450, 166, 48, 123)","[0.1687, 0.8259, 0.1364, 0.1037]",True,[444 159  60 128],0.42382264137268066,animal
688,ZJ017176,test_features/ZJ017176.jpg,S0100,0.0154,"(236, 4, 100, 36)","[0, 0.6444, 0.06875, 0.3]",True,,,
689,ZJ017177,test_features/ZJ017177.jpg,S0114,0.238,"(4, 4, 327, 378)","[0, 0, 0.6031, 1.0]",True,[  0   0 334 380],0.33781954646110535,animal
690,ZJ017178,test_features/ZJ017178.jpg,S0041,0.506,"(159, 462, 46, 55)","[0.7156, 0.4305, 0.09843, 0.15]",True,,,
691,ZJ017179,test_features/ZJ017179.jpg,S0052,0.013,"(228, 646, 153, 160)","[0.6687, 0.4148, 0.1749, 0.2981]",True,,,
692,ZJ017180,test_features/ZJ017180.jpg,S0072,0.289,"(349, 223, 49, 34)","[0.2281, 0.6699, 0.04374, 0.1106]",True,,,
693,ZJ017181,test_features/ZJ017181.jpg,S0100,0.36,"(223, 179, 116, 132)","[0.2734, 0.6083, 0.2187, 0.3444]",True,,,
694,ZJ017182,test_features/ZJ017182.jpg,S0114,0.257,"(216, 319, 44, 16)","[0.4921, 0.6328, 0.0375, 0.1552]",True,[237   0  97 204],0.36583638191223145,leopard
695,ZJ017183,test_features/ZJ017183.jpg,S0033,0.524,"(123, 353, 216, 283)","[0.5453, 0.3305, 0.4546, 0.6222]",True,[322   0  36  36],0.3329211473464966,civet_genet
696,ZJ017184,test_features/ZJ017184.jpg,S0162,0.536,"(283, 658, 127, 198)","[0.6812, 0.5166, 0.2145, 0.25]",True,,,
697,ZJ017185,test_features/ZJ017185.jpg,S0040,0.0264,"(383, 4, 137, 313)","[0, 0.7018, 0.3343, 0.2685]",True,,,
698,ZJ017186,test_features/ZJ017186.jpg,S0072,0.707,"(400, 313, 51, 69)","[0.3218, 0.7333, 0.0802, 0.1092]",True,,,
699,ZJ017187,test_features/ZJ017187.jpg,S0142,0.111,"(155, 355, 42, 68)","[0.5484, 0.4194, 0.1187, 0.1388]",True,,,
700,ZJ017188,test_features/ZJ017188.jpg,S0082,0.827,"(166, 320, 122, 83)","[0.3291, 0.2999, 0.09479, 0.2407]",True,[161 307 132  96],0.5181224346160889,bird
701,ZJ017189,test_features/ZJ017189.jpg,S0111,0.757,"(181, 420, 72, 29)","[0.65, 0.4916, 0.05781, 0.2222]",True,[186 414  65  40],0.5172757506370544,bird
702,ZJ017190,test_features/ZJ017190.jpg,S0055,0.693,"(140, 146, 76, 126)","[0.2218, 0.3777, 0.2093, 0.2333]",True,,,
703,ZJ017191,test_features/ZJ017191.jpg,S0128,0.894,"(196, 240, 121, 133)","[0.3687, 0.5333, 0.2203, 0.3583]",True,[195 236 137 138],0.5110082030296326,antelope_duiker
704,ZJ017192,test_features/ZJ017192.jpg,S0118,0.00973,"(326, 4, 13, 80)","[0, 0.8944, 0.1375, 0.05833]",True,,,
705,ZJ017193,test_features/ZJ017193.jpg,S0066,0.384,"(250, 263, 77, 219)","[0.4046, 0.6833, 0.3546, 0.2361]",True,,,
706,ZJ017194,test_features/ZJ017194.jpg,S0114,0.0232,"(4, 5, 336, 631)","[0.001562, 0, 0.9984, 0.9555]",True,[322   0  37  36],0.37393486499786377,civet_genet
707,ZJ017195,test_features/ZJ017195.jpg,S0040,0.421,"(289, 4, 228, 683)","[0, 0.5277, 0.7197, 0.437]",True,[311  80  65  58],0.5372034907341003,bird
708,ZJ017196,test_features/ZJ017196.jpg,S0116,0.654,"(300, 303, 39, 90)","[0.4671, 0.8222, 0.1531, 0.1305]",True,,,
709,ZJ017197,test_features/ZJ017197.jpg,S0086,0.455,"(78, 43, 64, 55)","[0.1218, 0.3083, 0.1968, 0.3]",True,,,
710,ZJ017198,test_features/ZJ017198.jpg,S0111,0.178,"(288, 394, 30, 50)","[0.6093, 0.7888, 0.09062, 0.1055]",True,,,
711,ZJ017199,test_features/ZJ017199.jpg,S0041,0.865,"(118, 464, 237, 124)","[0.7187, 0.3166, 0.2062, 0.6805]",True,[120 461 238 130],0.36387336254119873,animal
712,ZJ017200,test_features/ZJ017200.jpg,S0033,0.069,"(289, 4, 50, 59)","[0, 0.7916, 0.1046, 0.1611]",True,,,
713,ZJ017201,test_features/ZJ017201.jpg,S0055,0.923,"(108, 186, 100, 81)","[0.2843, 0.2888, 0.139, 0.3]",True,[104 181 109  90],0.4392012655735016,animal
714,ZJ017202,test_features/ZJ017202.jpg,S0040,0.0136,"(340, 929, 124, 27)","[0.9635, 0.6222, 0.03645, 0.2444]",True,,,
715,ZJ017203,test_features/ZJ017203.jpg,S0037,0.459,"(184, 101, 94, 108)","[0.1515, 0.4999, 0.1812, 0.2833]",True,,,
716,ZJ017204,test_features/ZJ017204.jpg,S0189,0.00772,"(151, 133, 19, 12)","[0.3583, 0.6124, 0.05555, 0.1124]",True,,,
717,ZJ017205,test_features/ZJ017205.jpg,S0162,0.502,"(414, 108, 71, 63)","[0.1083, 0.7592, 0.07395, 0.1462]",True,,,
718,ZJ017206,test_features/ZJ017206.jpg,S0128,0.146,"(115, 587, 66, 47)","[0.9109, 0.3083, 0.08593, 0.2055]",True,,,
719,ZJ017207,test_features/ZJ017207.jpg,S0114,0.115,"(268, 151, 72, 167)","[0.2296, 0.7333, 0.2734, 0.2222]",True,[322   0  37  36],0.3420504331588745,civet_genet
720,ZJ017208,test_features/ZJ017208.jpg,S0066,0.539,"(223, 480, 34, 76)","[0.7437, 0.6083, 0.1312, 0.1166]",True,,,
721,ZJ017209,test_features/ZJ017209.jpg,S0114,0.815,"(4, 4, 327, 524)","[0, 0, 0.8312, 1.0]",True,[  0   0 334 521],0.4420638084411621,leopard
722,ZJ017210,test_features/ZJ017210.jpg,S0040,0.0624,"(241, 316, 86, 51)","[0.3249, 0.4388, 0.06145, 0.174]",True,,,
723,ZJ017211,test_features/ZJ017211.jpg,S0162,0.11,"(182, 924, 125, 32)","[0.9583, 0.3456, 0.04166, 0.2582]",True,,,
724,ZJ017212,test_features/ZJ017212.jpg,S0064,0.118,"(396, 156, 120, 398)","[0.1583, 0.7259, 0.4229, 0.237]",True,,,
725,ZJ017213,test_features/ZJ017213.jpg,S0086,,,,False,,,
726,ZJ017214,test_features/ZJ017214.jpg,S0082,0.847,"(345, 778, 174, 178)","[0.8062, 0.6314, 0.1937, 0.337]",True,[342 786 179 172],0.46283042430877686,animal
727,ZJ017215,test_features/ZJ017215.jpg,S0091,0.78,"(316, 57, 121, 322)","[0.0552, 0.5777, 0.3437, 0.2388]",True,[309  56 128 322],0.42382991313934326,animal
728,ZJ017216,test_features/ZJ017216.jpg,S0116,0.0863,"(274, 314, 57, 58)","[0.4843, 0.8059, 0.1031, 0.194]",True,,,
729,ZJ017217,test_features/ZJ017217.jpg,S0066,0.921,"(123, 403, 90, 92)","[0.6234, 0.3305, 0.1562, 0.2722]",True,[118 398  98  99],0.456003338098526,antelope_duiker
730,ZJ017218,test_features/ZJ017218.jpg,S0064,0.306,"(223, 815, 40, 123)","[0.8447, 0.4055, 0.1364, 0.08888]",True,[219 810  46 132],0.31666669249534607,animal
731,ZJ017219,test_features/ZJ017219.jpg,S0128,0.559,"(331, 562, 8, 74)","[0.8718, 0.9083, 0.1281, 0.04444]",True,,,
732,ZJ017220,test_features/ZJ017220.jpg,S0116,0.926,"(285, 116, 55, 54)","[0.175, 0.7805, 0.09687, 0.1749]",True,[279 108  64  66],0.6965762972831726,bird
733,ZJ017221,test_features/ZJ017221.jpg,S0118,0.311,"(300, 83, 40, 239)","[0.1234, 0.8222, 0.3859, 0.1333]",True,[ 84 194  29  93],0.30863288044929504,animal
734,ZJ017222,test_features/ZJ017222.jpg,S0082,0.714,"(457, 191, 48, 115)","[0.1947, 0.8388, 0.1281, 0.1037]",True,[448 189  60 120],0.39015981554985046,animal
735,ZJ017223,test_features/ZJ017223.jpg,S0091,,,,False,,,
736,ZJ017224,test_features/ZJ017224.jpg,S0189,0.329,"(170, 4, 65, 104)","[0, 0.6916, 0.3111, 0.3041]",True,[165   0  74 112],0.3231050968170166,animal
737,ZJ017225,test_features/ZJ017225.jpg,S0040,0.53,"(291, 4, 228, 682)","[0, 0.5314, 0.7187, 0.437]",True,,,
738,ZJ017226,test_features/ZJ017226.jpg,S0040,0.831,"(290, 123, 80, 147)","[0.1239, 0.5296, 0.1614, 0.1629]",True,,,
739,ZJ017227,test_features/ZJ017227.jpg,S0114,0.912,"(4, 5, 327, 489)","[0.001562, 0, 0.7765, 1.0]",True,[  0   0 334 496],0.6908798217773438,leopard
740,ZJ017228,test_features/ZJ017228.jpg,S0128,0.866,"(211, 243, 71, 82)","[0.3734, 0.575, 0.1406, 0.2194]",True,[204 236  81  96],0.7004953026771545,bird
741,ZJ017229,test_features/ZJ017229.jpg,S0037,0.883,"(183, 74, 173, 270)","[0.1093, 0.4972, 0.4343, 0.5027]",True,,,
742,ZJ017230,test_features/ZJ017230.jpg,S0114,0.321,"(4, 4, 327, 507)","[0, 0, 0.8046, 1.0]",True,[  0   0 334 510],0.6395885944366455,leopard
743,ZJ017231,test_features/ZJ017231.jpg,S0114,,,,False,,,
744,ZJ017232,test_features/ZJ017232.jpg,S0100,0.393,"(184, 4, 155, 631)","[0, 0.4999, 0.9984, 0.4527]",True,,,
745,ZJ017233,test_features/ZJ017233.jpg,S0114,0.446,"(4, 68, 326, 568)","[0.1, 0, 0.8999, 0.997]",True,[  0  71 333 568],0.3855046033859253,animal
746,ZJ017234,test_features/ZJ017234.jpg,S0040,0.137,"(275, 5, 229, 951)","[0.001041, 0.5018, 0.9989, 0.4388]",True,,,
747,ZJ017235,test_features/ZJ017235.jpg,S0040,0.847,"(237, 454, 69, 215)","[0.4687, 0.4314, 0.2322, 0.1425]",True,,,
748,ZJ017236,test_features/ZJ017236.jpg,S0128,0.0108,"(210, 104, 24, 30)","[0.1562, 0.5722, 0.05937, 0.08888]",True,,,
749,ZJ017237,test_features/ZJ017237.jpg,S0067,0.00743,"(4, 7, 347, 628)","[0.004687, 0, 0.9937, 0.9861]",True,,,
750,ZJ017238,test_features/ZJ017238.jpg,S0082,0.581,"(382, 759, 137, 153)","[0.7864, 0.7, 0.1677, 0.2685]",True,,,
751,ZJ017239,test_features/ZJ017239.jpg,S0072,0.03,"(185, 351, 82, 39)","[0.3614, 0.3514, 0.04895, 0.1747]",True,,,
752,ZJ017240,test_features/ZJ017240.jpg,S0040,0.887,"(332, 41, 56, 76)","[0.03854, 0.6074, 0.08749, 0.1185]",True,[323  37  71  83],0.6163951754570007,bird
753,ZJ017241,test_features/ZJ017241.jpg,S0072,0.94,"(387, 472, 132, 195)","[0.4875, 0.7092, 0.2114, 0.2592]",True,[382 459 139 213],0.3829752206802368,monkey_prosimian
754,ZJ017242,test_features/ZJ017242.jpg,S0037,0.46,"(163, 325, 58, 35)","[0.5015, 0.4416, 0.06718, 0.1833]",True,,,
755,ZJ017243,test_features/ZJ017243.jpg,S0041,0.877,"(152, 360, 102, 224)","[0.5562, 0.4111, 0.3625, 0.3055]",True,[148 375 107 216],0.37420323491096497,animal
756,ZJ017244,test_features/ZJ017244.jpg,S0114,,,,False,,,
757,ZJ017245,test_features/ZJ017245.jpg,S0039,,,,False,,,
758,ZJ017246,test_features/ZJ017246.jpg,S0037,0.762,"(132, 244, 80, 49)","[0.375, 0.3555, 0.08906, 0.2444]",True,,,
759,ZJ017247,test_features/ZJ017247.jpg,S0072,0.553,"(322, 660, 69, 105)","[0.6833, 0.5888, 0.1177, 0.1425]",True,,,
760,ZJ017248,test_features/ZJ017248.jpg,S0037,0.00543,"(195, 217, 30, 13)","[0.3328, 0.5305, 0.03281, 0.1055]",True,,,
761,ZJ017249,test_features/ZJ017249.jpg,S0082,0.904,"(279, 626, 231, 330)","[0.6479, 0.5339, 0.352, 0.464]",True,[278 624 235 334],0.39772292971611023,animal
762,ZJ017250,test_features/ZJ017250.jpg,S0162,0.777,"(344, 614, 69, 128)","[0.6354, 0.6296, 0.1416, 0.1425]",True,,,
763,ZJ017251,test_features/ZJ017251.jpg,S0109,0.71,"(329, 224, 27, 135)","[0.3437, 0.9027, 0.2234, 0.09722]",True,[325 221  33 136],0.33235618472099304,animal
764,ZJ017252,test_features/ZJ017252.jpg,S0040,0.401,"(273, 109, 54, 186)","[0.1093, 0.4981, 0.202, 0.1148]",True,,,
765,ZJ017253,test_features/ZJ017253.jpg,S0064,0.0904,"(280, 167, 210, 789)","[0.1697, 0.5111, 0.8302, 0.4037]",True,,,
766,ZJ017254,test_features/ZJ017254.jpg,S0132,0.896,"(21, 4, 333, 85)","[0, 0.04722, 0.1453, 0.9472]",True,[ 27   0 327  90],0.3216610848903656,antelope_duiker
767,ZJ017255,test_features/ZJ017255.jpg,S0040,0.239,"(242, 383, 61, 151)","[0.3947, 0.4407, 0.1656, 0.1277]",True,,,
768,ZJ017256,test_features/ZJ017256.jpg,S0064,0.69,"(319, 4, 200, 499)","[0, 0.5833, 0.5281, 0.3851]",True,[313   0 207 531],0.34081482887268066,animal
769,ZJ017257,test_features/ZJ017257.jpg,S0037,0.805,"(121, 4, 234, 387)","[0, 0.325, 0.6171, 0.6722]",True,[120   2 238 390],0.3097621202468872,animal
770,ZJ017258,test_features/ZJ017258.jpg,S0128,0.0332,"(44, 94, 58, 36)","[0.1406, 0.1111, 0.06875, 0.1833]",True,,,
771,ZJ017259,test_features/ZJ017259.jpg,S0151,0.201,"(248, 195, 21, 48)","[0.2984, 0.6777, 0.08749, 0.08055]",True,,,
772,ZJ017260,test_features/ZJ017260.jpg,S0162,0.0102,"(330, 834, 91, 122)","[0.8645, 0.6037, 0.1354, 0.1833]",True,,,
773,ZJ017261,test_features/ZJ017261.jpg,S0072,0.719,"(337, 241, 95, 125)","[0.2468, 0.6166, 0.1385, 0.1907]",True,,,
774,ZJ017262,test_features/ZJ017262.jpg,S0162,0.846,"(211, 159, 168, 427)","[0.1614, 0.3833, 0.4531, 0.3259]",True,,,
775,ZJ017263,test_features/ZJ017263.jpg,S0064,,,,False,,,
776,ZJ017264,test_features/ZJ017264.jpg,S0128,0.793,"(256, 558, 79, 78)","[0.8656, 0.6999, 0.1343, 0.2416]",True,[253 564  62  75],0.3136094808578491,bird
777,ZJ017265,test_features/ZJ017265.jpg,S0065,0.513,"(300, 231, 39, 84)","[0.3546, 0.8222, 0.1437, 0.1305]",True,,,
778,ZJ017266,test_features/ZJ017266.jpg,S0132,0.899,"(24, 4, 331, 85)","[0, 0.05555, 0.1453, 0.9416]",True,[ 30   0 321  90],0.4235316216945648,animal
779,ZJ017267,test_features/ZJ017267.jpg,S0040,0.961,"(4, 10, 424, 732)","[0.00625, 0, 0.7708, 0.8]",True,[  0   4 432 749],0.7851687073707581,leopard
780,ZJ017268,test_features/ZJ017268.jpg,S0040,0.12,"(291, 4, 228, 719)","[0, 0.5314, 0.7572, 0.437]",True,,,
781,ZJ017269,test_features/ZJ017269.jpg,S0091,0.748,"(422, 359, 67, 308)","[0.3697, 0.774, 0.3291, 0.1388]",True,,,
782,ZJ017270,test_features/ZJ017270.jpg,S0162,0.0281,"(196, 922, 88, 34)","[0.9562, 0.3555, 0.04374, 0.1777]",True,,,
783,ZJ017271,test_features/ZJ017271.jpg,S0116,0.833,"(237, 326, 92, 62)","[0.5031, 0.6472, 0.1093, 0.2777]",True,[231 317  95  80],0.668441653251648,bird
784,ZJ017272,test_features/ZJ017272.jpg,S0100,0.844,"(204, 212, 126, 193)","[0.325, 0.5555, 0.314, 0.3722]",True,[199 206 122 196],0.35348477959632874,hog
785,ZJ017273,test_features/ZJ017273.jpg,S0037,0.516,"(153, 4, 135, 89)","[0, 0.4138, 0.1515, 0.3972]",True,,,
786,ZJ017274,test_features/ZJ017274.jpg,S0116,0.287,"(210, 124, 40, 38)","[0.1875, 0.5722, 0.07187, 0.1333]",True,,,
787,ZJ017275,test_features/ZJ017275.jpg,S0135,0.0403,"(105, 324, 21, 37)","[0.5, 0.2805, 0.07031, 0.08055]",True,,,
788,ZJ017276,test_features/ZJ017276.jpg,S0033,0.343,"(104, 348, 136, 88)","[0.5375, 0.2777, 0.15, 0.4]",True,[ 95 338 247 301],0.5337850451469421,leopard
789,ZJ017277,test_features/ZJ017277.jpg,S0033,0.0177,"(321, 597, 18, 39)","[0.9265, 0.8805, 0.07343, 0.07222]",True,,,
790,ZJ017278,test_features/ZJ017278.jpg,S0072,0.453,"(449, 620, 60, 46)","[0.6416, 0.824, 0.05624, 0.1259]",True,[233 682 100 123],0.3400530219078064,animal
791,ZJ017279,test_features/ZJ017279.jpg,S0194,0.203,"(5, 4, 220, 20)","[0, 0.004166, 0.07777, 0.9499]",True,,,
792,ZJ017280,test_features/ZJ017280.jpg,S0194,0.0159,"(90, 333, 47, 16)","[0.9138, 0.3583, 0.06666, 0.2291]",True,,,
793,ZJ017281,test_features/ZJ017281.jpg,S0189,0.852,"(133, 120, 86, 50)","[0.3222, 0.5375, 0.1611, 0.3916]",True,,,
794,ZJ017282,test_features/ZJ017282.jpg,S0086,0.00824,"(209, 301, 27, 15)","[0.9281, 0.8541, 0.07187, 0.1458]",True,,,
795,ZJ017283,test_features/ZJ017283.jpg,S0011,0.0547,"(183, 285, 54, 51)","[0.439, 0.4972, 0.09218, 0.1722]",True,,,
796,ZJ017284,test_features/ZJ017284.jpg,S0082,0.219,"(393, 424, 80, 61)","[0.4374, 0.7203, 0.07187, 0.1629]",True,,,
797,ZJ017285,test_features/ZJ017285.jpg,S0064,0.754,"(225, 815, 34, 121)","[0.8447, 0.4092, 0.1343, 0.07777]",True,[219 811  45 133],0.32298311591148376,bird
798,ZJ017286,test_features/ZJ017286.jpg,S0189,0.362,"(202, 120, 34, 37)","[0.3222, 0.825, 0.125, 0.1749]",True,[200 116  39  45],0.30801886320114136,animal
799,ZJ017287,test_features/ZJ017287.jpg,S0111,0.848,"(250, 119, 55, 59)","[0.1796, 0.6833, 0.1046, 0.1749]",True,[245 108  66  75],0.55044025182724,bird
800,ZJ017288,test_features/ZJ017288.jpg,S0116,0.946,"(197, 116, 142, 224)","[0.1749, 0.5361, 0.3625, 0.4166]",True,[198 112 143 232],0.4990152418613434,antelope_duiker
801,ZJ017289,test_features/ZJ017289.jpg,S0162,0.491,"(375, 838, 109, 96)","[0.8687, 0.687, 0.1083, 0.2166]",True,,,
802,ZJ017290,test_features/ZJ017290.jpg,S0040,0.402,"(282, 5, 237, 951)","[0.001041, 0.5148, 0.9989, 0.4537]",True,,,
803,ZJ017291,test_features/ZJ017291.jpg,S0011,0.0407,"(206, 330, 53, 54)","[0.5093, 0.5611, 0.09687, 0.1694]",True,,,
804,ZJ017292,test_features/ZJ017292.jpg,S0189,0.385,"(194, 205, 19, 31)","[0.5583, 0.7916, 0.1083, 0.1124]",True,,,
805,ZJ017293,test_features/ZJ017293.jpg,S0040,0.912,"(331, 42, 57, 74)","[0.03958, 0.6055, 0.08541, 0.1203]",True,[323  40  69  79],0.5754757523536682,bird
806,ZJ017294,test_features/ZJ017294.jpg,S0116,0.393,"(245, 508, 49, 41)","[0.7874, 0.6694, 0.07656, 0.1583]",True,[242 501  59  52],0.5735651850700378,bird
807,ZJ017295,test_features/ZJ017295.jpg,S0126,0.746,"(414, 500, 60, 164)","[0.5166, 0.7592, 0.1791, 0.1259]",True,[398 495  73 158],0.3260652720928192,animal
808,ZJ017296,test_features/ZJ017296.jpg,S0033,0.883,"(76, 280, 263, 356)","[0.4312, 0.2, 0.5687, 0.7527]",True,[110 437 202 202],0.3390533924102783,leopard
809,ZJ017297,test_features/ZJ017297.jpg,S0064,0.0664,"(397, 744, 123, 212)","[0.7708, 0.7277, 0.2291, 0.2425]",True,,,
810,ZJ017298,test_features/ZJ017298.jpg,S0086,0.756,"(157, 123, 31, 42)","[0.3718, 0.6375, 0.1562, 0.1624]",True,[153 118  35  50],0.4807509481906891,animal
811,ZJ017299,test_features/ZJ017299.jpg,S0082,,,,False,,,
812,ZJ017300,test_features/ZJ017300.jpg,S0116,0.685,"(248, 361, 90, 49)","[0.5578, 0.6777, 0.08906, 0.2722]",True,,,
813,ZJ017301,test_features/ZJ017301.jpg,S0100,,,,False,,,
814,ZJ017302,test_features/ZJ017302.jpg,S0033,0.396,"(106, 83, 43, 89)","[0.1234, 0.2833, 0.1515, 0.1416]",True,[102  78  50 103],0.3194354176521301,animal
815,ZJ017303,test_features/ZJ017303.jpg,S0037,0.0547,"(199, 555, 9, 19)","[0.8609, 0.582, 0.04218, 0.05074]",True,,,
816,ZJ017304,test_features/ZJ017304.jpg,S0033,0.914,"(164, 283, 175, 294)","[0.4359, 0.4444, 0.4718, 0.5083]",True,[153 280 189 295],0.6034222841262817,leopard
817,ZJ017305,test_features/ZJ017305.jpg,S0065,0.593,"(307, 346, 32, 82)","[0.5343, 0.8416, 0.1406, 0.1111]",True,,,
818,ZJ017306,test_features/ZJ017306.jpg,S0066,0.564,"(223, 478, 34, 30)","[0.7406, 0.6083, 0.05937, 0.1166]",True,,,
819,ZJ017307,test_features/ZJ017307.jpg,S0086,0.325,"(76, 9, 65, 92)","[0.01562, 0.2999, 0.3125, 0.3041]",True,,,
820,ZJ017308,test_features/ZJ017308.jpg,S0067,0.0148,"(230, 211, 30, 80)","[0.3234, 0.6277, 0.1375, 0.1055]",True,[ 81 291  65  68],0.33410564064979553,bird
821,ZJ017309,test_features/ZJ017309.jpg,S0065,0.781,"(159, 163, 180, 199)","[0.2484, 0.4305, 0.3234, 0.5222]",True,,,
822,ZJ017310,test_features/ZJ017310.jpg,S0012,0.00565,"(6, 5, 511, 951)","[0.001041, 0.003703, 0.9989, 0.9611]",True,[502   0  36  37],0.33632320165634155,civet_genet
823,ZJ017311,test_features/ZJ017311.jpg,S0118,0.00994,"(292, 358, 40, 64)","[0.5531, 0.8, 0.1124, 0.1333]",True,,,
824,ZJ017312,test_features/ZJ017312.jpg,S0066,0.458,"(251, 141, 104, 195)","[0.214, 0.6861, 0.3171, 0.3111]",True,,,
825,ZJ017313,test_features/ZJ017313.jpg,S0128,0.889,"(166, 4, 173, 280)","[0, 0.45, 0.4499, 0.5027]",True,,,
826,ZJ017314,test_features/ZJ017314.jpg,S0072,0.354,"(356, 265, 163, 183)","[0.2718, 0.6518, 0.1989, 0.3166]",True,,,
827,ZJ017315,test_features/ZJ017315.jpg,S0118,0.506,"(278, 249, 62, 289)","[0.3828, 0.7611, 0.464, 0.1944]",True,[289 241  53 310],0.3724629580974579,animal
828,ZJ017316,test_features/ZJ017316.jpg,S0040,0.698,"(225, 431, 62, 41)","[0.4447, 0.4092, 0.05104, 0.1296]",True,,,
829,ZJ017317,test_features/ZJ017317.jpg,S0065,0.718,"(327, 311, 13, 77)","[0.4796, 0.8972, 0.1328, 0.05833]",True,,,
830,ZJ017318,test_features/ZJ017318.jpg,S0037,0.801,"(152, 268, 73, 62)","[0.4124, 0.4111, 0.1093, 0.2249]",True,[151 264  76  69],0.4460461437702179,animal
831,ZJ017319,test_features/ZJ017319.jpg,S0166,0.574,"(49, 13, 306, 623)","[0.01406, 0.1249, 0.9859, 0.8722]",True,,,
