id,filepath,site,split,conf,bbox,bbox_normalized,bbox_true
ZJ002397,train_features/ZJ002397.jpg,S0020,4.0,0.489,"(217, 112, 215, 128)","[0.1125, 0.3944, 0.1416, 0.4129]",True
ZJ002398,train_features/ZJ002398.jpg,S0150,3.0,0.617,"(190, 105, 60, 223)","[0.1578, 0.5166, 0.3609, 0.1888]",True
ZJ002399,train_features/ZJ002399.jpg,S0060,2.0,0.809,"(271, 513, 160, 398)","[0.5302, 0.4944, 0.4229, 0.3111]",True
ZJ002400,train_features/ZJ002400.jpg,S0003,2.0,0.484,"(184, 367, 125, 103)","[0.5671, 0.5, 0.1734, 0.3694]",True
ZJ002401,train_features/ZJ002401.jpg,S0076,3.0,0.951,"(35, 221, 296, 415)","[0.339, 0.09253, 0.6609, 0.9074]",True
ZJ002402,train_features/ZJ002402.jpg,S0173,1.0,0.85,"(180, 520, 67, 38)","[0.8062, 0.4888, 0.07187, 0.2083]",True
ZJ002403,train_features/ZJ002403.jpg,S0071,1.0,0.944,"(227, 79, 250, 351)","[0.07812, 0.4129, 0.3739, 0.4777]",True
ZJ002404,train_features/ZJ002404.jpg,S0014,4.0,0.823,"(193, 34, 83, 185)","[0.04687, 0.5249, 0.3015, 0.2527]",True
ZJ002405,train_features/ZJ002405.jpg,S0120,2.0,0.0261,"(4, 851, 514, 105)","[0.8822, 0, 0.1177, 0.9666]",True
ZJ002406,train_features/ZJ002406.jpg,S0127,3.0,0.356,"(249, 9, 79, 228)","[0.007812, 0.6805, 0.3687, 0.2416]",True
ZJ002407,train_features/ZJ002407.jpg,S0163,2.0,0.137,"(5, 43, 157, 112)","[0.06093, 0.002777, 0.1875, 0.4583]",True
ZJ002408,train_features/ZJ002408.jpg,S0083,2.0,0.736,"(393, 456, 80, 153)","[0.4708, 0.7203, 0.1677, 0.1629]",True
ZJ002409,train_features/ZJ002409.jpg,S0172,0.0,0.415,"(90, 36, 17, 37)","[0.08888, 0.3583, 0.125, 0.1041]",True
ZJ002410,train_features/ZJ002410.jpg,S0136,0.0,0.162,"(265, 67, 71, 62)","[0.09843, 0.725, 0.1093, 0.2194]",True
ZJ002411,train_features/ZJ002411.jpg,S0026,0.0,0.726,"(227, 121, 43, 164)","[0.1828, 0.6194, 0.2687, 0.1416]",True
ZJ002412,train_features/ZJ002412.jpg,S0060,2.0,0.855,"(322, 330, 117, 285)","[0.3395, 0.5888, 0.3052, 0.2314]",True
ZJ002413,train_features/ZJ002413.jpg,S0060,2.0,0.319,"(409, 99, 111, 347)","[0.09895, 0.75, 0.3697, 0.2203]",True
ZJ002414,train_features/ZJ002414.jpg,S0008,4.0,0.0878,"(245, 15, 94, 115)","[0.01718, 0.6694, 0.1921, 0.2833]",True
ZJ002415,train_features/ZJ002415.jpg,S0009,0.0,0.948,"(267, 46, 72, 339)","[0.06562, 0.7305, 0.5421, 0.2222]",True
ZJ002416,train_features/ZJ002416.jpg,S0070,1.0,0.893,"(361, 161, 158, 86)","[0.1635, 0.6611, 0.09791, 0.3074]",True
ZJ002417,train_features/ZJ002417.jpg,S0141,3.0,0.723,"(221, 184, 59, 57)","[0.2812, 0.6477, 0.1015, 0.2]",True
ZJ002418,train_features/ZJ002418.jpg,S0031,2.0,0.163,"(6, 4, 343, 111)","[0, 0.005555, 0.1859, 0.975]",True
ZJ002419,train_features/ZJ002419.jpg,S0062,2.0,0.455,"(240, 703, 28, 65)","[0.7281, 0.437, 0.07604, 0.06666]",True
ZJ002420,train_features/ZJ002420.jpg,S0063,1.0,0.0182,"(199, 781, 62, 77)","[0.8093, 0.3611, 0.08854, 0.1296]",True
ZJ002421,train_features/ZJ002421.jpg,S0188,3.0,0.193,"(161, 88, 12, 33)","[0.2333, 0.6541, 0.1138, 0.08333]",True
ZJ002422,train_features/ZJ002422.jpg,S0014,4.0,0.0323,"(121, 124, 163, 153)","[0.1874, 0.325, 0.2515, 0.4749]",True
ZJ002423,train_features/ZJ002423.jpg,S0025,4.0,0.825,"(434, 533, 76, 354)","[0.551, 0.8349, 0.377, 0.1631]",True
ZJ002424,train_features/ZJ002424.jpg,S0009,0.0,0.489,"(239, 325, 17, 41)","[0.5015, 0.6527, 0.07656, 0.06944]",True
ZJ002425,train_features/ZJ002425.jpg,S0156,0.0,0.88,"(354, 229, 166, 447)","[0.2343, 0.6481, 0.4739, 0.3222]",True
ZJ002426,train_features/ZJ002426.jpg,S0062,2.0,0.853,"(288, 657, 43, 172)","[0.6802, 0.5259, 0.1875, 0.09444]",True
ZJ002427,train_features/ZJ002427.jpg,S0085,4.0,0.94,"(177, 163, 127, 154)","[0.2484, 0.4805, 0.2531, 0.375]",True
ZJ002428,train_features/ZJ002428.jpg,S0083,2.0,0.686,"(381, 483, 75, 51)","[0.4989, 0.6981, 0.06145, 0.1537]",True
ZJ002429,train_features/ZJ002429.jpg,S0036,0.0,0.926,"(188, 277, 143, 98)","[0.4265, 0.5492, 0.1656, 0.4507]",True
ZJ002430,train_features/ZJ002430.jpg,S0031,2.0,0.949,"(161, 441, 195, 195)","[0.6828, 0.4361, 0.3171, 0.5638]",True
ZJ002431,train_features/ZJ002431.jpg,S0060,2.0,0.724,"(362, 300, 157, 434)","[0.3083, 0.6629, 0.4604, 0.3055]",True
ZJ002432,train_features/ZJ002432.jpg,S0060,2.0,0.589,"(336, 203, 131, 264)","[0.2072, 0.6148, 0.2833, 0.2574]",True
ZJ002433,train_features/ZJ002433.jpg,S0093,1.0,0.873,"(310, 393, 159, 142)","[0.4052, 0.5666, 0.1562, 0.3092]",True
ZJ002434,train_features/ZJ002434.jpg,S0016,1.0,0.812,"(257, 4, 196, 119)","[0, 0.4685, 0.1322, 0.3777]",True
ZJ002435,train_features/ZJ002435.jpg,S0136,0.0,,,,False
ZJ002436,train_features/ZJ002436.jpg,S0002,4.0,0.00613,"(10, 5, 327, 629)","[0.001562, 0.01666, 0.9953, 0.9305]",True
ZJ002437,train_features/ZJ002437.jpg,S0141,3.0,0.787,"(261, 423, 34, 64)","[0.6546, 0.7138, 0.1124, 0.1166]",True
ZJ002438,train_features/ZJ002438.jpg,S0036,0.0,0.242,"(217, 167, 38, 47)","[0.2546, 0.5916, 0.08593, 0.1277]",True
ZJ002439,train_features/ZJ002439.jpg,S0009,0.0,0.425,"(241, 309, 20, 60)","[0.4765, 0.6583, 0.1062, 0.07777]",True
ZJ002440,train_features/ZJ002440.jpg,S0021,2.0,0.127,"(4, 26, 350, 609)","[0.03437, 0, 0.964, 0.9944]",True
ZJ002441,train_features/ZJ002441.jpg,S0084,0.0,0.581,"(167, 74, 284, 259)","[0.07291, 0.3018, 0.2781, 0.5407]",True
ZJ002442,train_features/ZJ002442.jpg,S0179,4.0,0.761,"(4, 119, 229, 237)","[0.3194, 0, 0.6805, 0.9875]",True
ZJ002443,train_features/ZJ002443.jpg,S0020,4.0,0.286,"(313, 173, 58, 101)","[0.176, 0.5722, 0.1135, 0.1222]",True
ZJ002444,train_features/ZJ002444.jpg,S0139,4.0,0.28,"(452, 694, 67, 261)","[0.7187, 0.8296, 0.2802, 0.1388]",True
ZJ002445,train_features/ZJ002445.jpg,S0029,4.0,0.405,"(353, 4, 167, 154)","[0, 0.6462, 0.1687, 0.324]",True
ZJ002446,train_features/ZJ002446.jpg,S0122,0.0,0.0533,"(104, 58, 82, 54)","[0.08437, 0.2777, 0.09687, 0.25]",True
ZJ002447,train_features/ZJ002447.jpg,S0108,0.0,0.477,"(254, 13, 51, 60)","[0.01406, 0.6944, 0.1062, 0.1638]",True
ZJ002448,train_features/ZJ002448.jpg,S0059,4.0,0.827,"(288, 201, 114, 86)","[0.2052, 0.5259, 0.09791, 0.2259]",True
ZJ002449,train_features/ZJ002449.jpg,S0063,1.0,0.0616,"(403, 270, 27, 62)","[0.277, 0.7388, 0.07291, 0.06481]",True
ZJ002450,train_features/ZJ002450.jpg,S0047,2.0,0.887,"(218, 460, 58, 29)","[0.7125, 0.5944, 0.05781, 0.1833]",True
ZJ002451,train_features/ZJ002451.jpg,S0009,0.0,0.904,"(141, 251, 127, 91)","[0.3859, 0.3805, 0.1546, 0.375]",True
ZJ002452,train_features/ZJ002452.jpg,S0123,0.0,0.0111,"(35, 470, 115, 119)","[0.7281, 0.08611, 0.1984, 0.3416]",True
ZJ002453,train_features/ZJ002453.jpg,S0002,4.0,,,,False
ZJ002454,train_features/ZJ002454.jpg,S0136,0.0,0.111,"(267, 517, 28, 45)","[0.8015, 0.7305, 0.08281, 0.1]",True
ZJ002455,train_features/ZJ002455.jpg,S0060,2.0,0.956,"(267, 4, 251, 348)","[0, 0.487, 0.3708, 0.4796]",True
ZJ002456,train_features/ZJ002456.jpg,S0014,4.0,0.906,"(170, 578, 185, 58)","[0.8968, 0.4611, 0.1031, 0.5361]",True
ZJ002457,train_features/ZJ002457.jpg,S0069,3.0,0.837,"(4, 543, 515, 115)","[0.5614, 0, 0.1281, 0.9685]",True
ZJ002458,train_features/ZJ002458.jpg,S0062,2.0,0.741,"(341, 321, 55, 65)","[0.3302, 0.624, 0.07604, 0.1166]",True
ZJ002459,train_features/ZJ002459.jpg,S0149,0.0,0.51,"(4, 55, 326, 512)","[0.07968, 0, 0.8125, 0.997]",True
ZJ002460,train_features/ZJ002460.jpg,S0141,3.0,0.047,"(308, 508, 31, 56)","[0.7874, 0.8444, 0.1, 0.1083]",True
ZJ002461,train_features/ZJ002461.jpg,S0120,2.0,0.795,"(194, 278, 53, 50)","[0.2854, 0.3518, 0.06041, 0.1129]",True
ZJ002462,train_features/ZJ002462.jpg,S0060,2.0,0.267,"(366, 297, 154, 426)","[0.3052, 0.6703, 0.452, 0.3]",True
ZJ002463,train_features/ZJ002463.jpg,S0038,1.0,0.0939,"(298, 371, 212, 585)","[0.3822, 0.5708, 0.6177, 0.4271]",True
ZJ002464,train_features/ZJ002464.jpg,S0127,3.0,0.147,"(273, 323, 67, 218)","[0.4984, 0.7472, 0.3531, 0.2083]",True
ZJ002465,train_features/ZJ002465.jpg,S0141,3.0,0.706,"(203, 150, 58, 28)","[0.2281, 0.594, 0.05624, 0.197]",True
ZJ002466,train_features/ZJ002466.jpg,S0009,0.0,0.971,"(115, 235, 225, 401)","[0.3609, 0.3083, 0.639, 0.6472]",True
ZJ002467,train_features/ZJ002467.jpg,S0073,3.0,0.836,"(154, 4, 202, 213)","[0, 0.4166, 0.3453, 0.5833]",True
ZJ002468,train_features/ZJ002468.jpg,S0063,1.0,0.931,"(205, 497, 202, 200)","[0.5135, 0.3722, 0.2166, 0.3888]",True
ZJ002469,train_features/ZJ002469.jpg,S0063,1.0,0.9,"(331, 377, 115, 196)","[0.3885, 0.6055, 0.2125, 0.2277]",True
ZJ002470,train_features/ZJ002470.jpg,S0120,2.0,0.91,"(35, 194, 269, 421)","[0.1979, 0.0574, 0.4468, 0.5129]",True
ZJ002471,train_features/ZJ002471.jpg,S0175,4.0,0.619,"(91, 299, 49, 57)","[0.8194, 0.3624, 0.1805, 0.2374]",True
ZJ002472,train_features/ZJ002472.jpg,S0009,0.0,0.271,"(83, 372, 239, 264)","[0.575, 0.2194, 0.425, 0.6861]",True
ZJ002473,train_features/ZJ002473.jpg,S0060,2.0,0.298,"(368, 738, 67, 192)","[0.7645, 0.674, 0.2083, 0.1388]",True
ZJ002474,train_features/ZJ002474.jpg,S0192,3.0,0.0128,"(4, 623, 337, 13)","[0.9671, 0, 0.03281, 0.9583]",True
ZJ002475,train_features/ZJ002475.jpg,S0117,4.0,,,,False
ZJ002476,train_features/ZJ002476.jpg,S0136,0.0,0.683,"(232, 231, 108, 132)","[0.3546, 0.6333, 0.2187, 0.3222]",True
ZJ002477,train_features/ZJ002477.jpg,S0163,2.0,0.482,"(227, 241, 112, 124)","[0.3703, 0.6194, 0.2062, 0.3333]",True
ZJ002478,train_features/ZJ002478.jpg,S0060,2.0,0.84,"(287, 870, 87, 86)","[0.902, 0.524, 0.09791, 0.1759]",True
ZJ002479,train_features/ZJ002479.jpg,S0096,3.0,0.336,"(132, 380, 50, 28)","[0.5875, 0.3555, 0.05624, 0.1611]",True
ZJ002480,train_features/ZJ002480.jpg,S0071,1.0,0.844,"(237, 631, 81, 122)","[0.6531, 0.4314, 0.1354, 0.1648]",True
ZJ002481,train_features/ZJ002481.jpg,S0014,4.0,0.892,"(196, 188, 97, 168)","[0.2875, 0.5333, 0.275, 0.2916]",True
ZJ002482,train_features/ZJ002482.jpg,S0074,0.0,0.345,"(326, 442, 14, 53)","[0.6843, 0.8944, 0.09531, 0.06111]",True
ZJ002483,train_features/ZJ002483.jpg,S0059,4.0,0.937,"(316, 95, 204, 587)","[0.09479, 0.5777, 0.6197, 0.3925]",True
ZJ002484,train_features/ZJ002484.jpg,S0035,3.0,0.852,"(166, 154, 189, 439)","[0.2343, 0.45, 0.6984, 0.5472]",True
ZJ002485,train_features/ZJ002485.jpg,S0069,3.0,0.826,"(4, 542, 514, 120)","[0.5604, 0, 0.1333, 0.9666]",True
ZJ002486,train_features/ZJ002486.jpg,S0020,4.0,0.167,"(306, 129, 69, 109)","[0.1302, 0.5592, 0.1218, 0.1425]",True
ZJ002487,train_features/ZJ002487.jpg,S0071,1.0,0.559,"(381, 202, 68, 93)","[0.2062, 0.6981, 0.1052, 0.1407]",True
ZJ002488,train_features/ZJ002488.jpg,S0197,4.0,0.887,"(213, 172, 143, 292)","[0.2624, 0.5805, 0.4687, 0.4194]",True
ZJ002489,train_features/ZJ002489.jpg,S0001,0.0,0.679,"(4, 219, 335, 417)","[0.3359, 0, 0.664, 0.9527]",True
ZJ002490,train_features/ZJ002490.jpg,S0069,3.0,0.714,"(352, 396, 93, 174)","[0.4083, 0.6444, 0.1895, 0.187]",True
ZJ002491,train_features/ZJ002491.jpg,S0038,1.0,0.677,"(246, 4, 265, 952)","[0, 0.4699, 1.0, 0.53]",True
ZJ002492,train_features/ZJ002492.jpg,S0060,2.0,0.917,"(302, 13, 98, 190)","[0.009374, 0.5518, 0.2062, 0.1962]",True
ZJ002493,train_features/ZJ002493.jpg,S0002,4.0,0.921,"(154, 541, 36, 65)","[0.839, 0.4166, 0.114, 0.1222]",True
ZJ002494,train_features/ZJ002494.jpg,S0009,0.0,0.837,"(159, 136, 179, 191)","[0.2062, 0.4305, 0.3109, 0.5194]",True
ZJ002495,train_features/ZJ002495.jpg,S0053,3.0,0.745,"(240, 358, 68, 57)","[0.3687, 0.4582, 0.0677, 0.1475]",True
ZJ002496,train_features/ZJ002496.jpg,S0083,2.0,0.854,"(374, 521, 136, 253)","[0.5385, 0.6851, 0.2718, 0.2666]",True
ZJ002497,train_features/ZJ002497.jpg,S0008,4.0,0.911,"(231, 4, 108, 126)","[0, 0.6305, 0.2093, 0.3222]",True
ZJ002498,train_features/ZJ002498.jpg,S0054,2.0,,,,False
ZJ002499,train_features/ZJ002499.jpg,S0036,0.0,0.956,"(59, 4, 280, 632)","[0, 0.1527, 1.0, 0.8]",True
ZJ002500,train_features/ZJ002500.jpg,S0150,3.0,0.617,"(137, 293, 101, 202)","[0.4515, 0.3694, 0.3281, 0.3027]",True
ZJ002501,train_features/ZJ002501.jpg,S0198,2.0,0.00771,"(99, 172, 23, 20)","[0.4666, 0.3958, 0.07777, 0.1291]",True
ZJ002502,train_features/ZJ002502.jpg,S0156,0.0,0.92,"(359, 190, 161, 458)","[0.1937, 0.6574, 0.4854, 0.3129]",True
ZJ002503,train_features/ZJ002503.jpg,S0069,3.0,,,,False
ZJ002504,train_features/ZJ002504.jpg,S0043,3.0,0.0334,"(196, 4, 46, 95)","[0, 0.5333, 0.1609, 0.15]",True
ZJ002505,train_features/ZJ002505.jpg,S0047,2.0,,,,False
ZJ002506,train_features/ZJ002506.jpg,S0016,1.0,0.577,"(241, 4, 235, 161)","[0, 0.4388, 0.176, 0.4499]",True
ZJ002507,train_features/ZJ002507.jpg,S0014,4.0,0.878,"(170, 550, 106, 86)","[0.8531, 0.4611, 0.1468, 0.3166]",True
ZJ002508,train_features/ZJ002508.jpg,S0054,2.0,0.88,"(430, 601, 90, 163)","[0.6218, 0.7888, 0.1781, 0.1814]",True
ZJ002509,train_features/ZJ002509.jpg,S0030,1.0,0.583,"(240, 812, 123, 93)","[0.8416, 0.437, 0.1052, 0.2425]",True
ZJ002510,train_features/ZJ002510.jpg,S0184,0.0,0.28,"(282, 302, 64, 82)","[0.3104, 0.5148, 0.09375, 0.1333]",True
ZJ002511,train_features/ZJ002511.jpg,S0171,4.0,0.33,"(176, 200, 35, 62)","[0.5444, 0.7999, 0.1944, 0.2]",True
ZJ002512,train_features/ZJ002512.jpg,S0029,4.0,0.00995,"(193, 235, 75, 67)","[0.2406, 0.3499, 0.07812, 0.1537]",True
ZJ002513,train_features/ZJ002513.jpg,S0183,0.0,0.0147,"(109, 221, 63, 22)","[0.6027, 0.4375, 0.08333, 0.2958]",True
ZJ002514,train_features/ZJ002514.jpg,S0127,3.0,0.789,"(232, 300, 104, 130)","[0.4624, 0.6333, 0.2156, 0.3111]",True
ZJ002515,train_features/ZJ002515.jpg,S0053,3.0,0.455,"(246, 633, 59, 77)","[0.6552, 0.4481, 0.08854, 0.124]",True
ZJ002516,train_features/ZJ002516.jpg,S0060,2.0,0.947,"(395, 4, 124, 161)","[0, 0.724, 0.176, 0.2444]",True
ZJ002517,train_features/ZJ002517.jpg,S0009,0.0,0.681,"(224, 300, 45, 72)","[0.4624, 0.6111, 0.125, 0.1472]",True
ZJ002518,train_features/ZJ002518.jpg,S0051,4.0,,,,False
ZJ002519,train_features/ZJ002519.jpg,S0060,2.0,0.837,"(354, 536, 133, 298)","[0.5541, 0.6481, 0.3187, 0.2611]",True
ZJ002520,train_features/ZJ002520.jpg,S0073,3.0,0.289,"(204, 138, 44, 55)","[0.2093, 0.5555, 0.09843, 0.1444]",True
ZJ002521,train_features/ZJ002521.jpg,S0123,0.0,0.157,"(38, 468, 110, 120)","[0.7249, 0.09444, 0.2, 0.3277]",True
ZJ002522,train_features/ZJ002522.jpg,S0008,4.0,0.832,"(236, 4, 102, 128)","[0, 0.6444, 0.2125, 0.3055]",True
ZJ002523,train_features/ZJ002523.jpg,S0038,1.0,0.199,"(239, 779, 125, 177)","[0.8072, 0.4351, 0.1927, 0.2462]",True
ZJ002524,train_features/ZJ002524.jpg,S0061,1.0,,,,False
ZJ002525,train_features/ZJ002525.jpg,S0009,0.0,0.763,"(171, 373, 40, 74)","[0.5765, 0.4638, 0.1281, 0.1333]",True
ZJ002526,train_features/ZJ002526.jpg,S0186,4.0,0.374,"(323, 272, 196, 228)","[0.2791, 0.5907, 0.2458, 0.3777]",True
ZJ002527,train_features/ZJ002527.jpg,S0023,2.0,0.00503,"(327, 540, 13, 54)","[0.8375, 0.8972, 0.09687, 0.05833]",True
ZJ002528,train_features/ZJ002528.jpg,S0043,3.0,0.122,"(4, 204, 335, 432)","[0.3125, 0, 0.6875, 0.9527]",True
ZJ002529,train_features/ZJ002529.jpg,S0031,2.0,0.533,"(247, 33, 48, 110)","[0.04531, 0.6749, 0.1843, 0.1555]",True
ZJ002530,train_features/ZJ002530.jpg,S0123,0.0,0.576,"(230, 213, 48, 34)","[0.3265, 0.6277, 0.06562, 0.1555]",True
ZJ002531,train_features/ZJ002531.jpg,S0023,2.0,0.00763,"(193, 623, 146, 13)","[0.9671, 0.5249, 0.03281, 0.4277]",True
ZJ002532,train_features/ZJ002532.jpg,S0036,0.0,0.925,"(200, 67, 98, 103)","[0.09843, 0.5444, 0.1734, 0.2944]",True
ZJ002533,train_features/ZJ002533.jpg,S0063,1.0,0.972,"(261, 167, 258, 220)","[0.1697, 0.4759, 0.2374, 0.4925]",True
ZJ002534,train_features/ZJ002534.jpg,S0009,0.0,0.729,"(211, 352, 80, 108)","[0.5437, 0.575, 0.1812, 0.2444]",True
ZJ002535,train_features/ZJ002535.jpg,S0029,4.0,0.475,"(372, 739, 79, 86)","[0.7656, 0.6814, 0.09791, 0.1611]",True
ZJ002536,train_features/ZJ002536.jpg,S0088,1.0,0.072,"(276, 354, 46, 102)","[0.5468, 0.7555, 0.1718, 0.15]",True
ZJ002537,train_features/ZJ002537.jpg,S0179,4.0,0.012,"(145, 321, 32, 35)","[0.8805, 0.5875, 0.1194, 0.1666]",True
ZJ002538,train_features/ZJ002538.jpg,S0070,1.0,0.618,"(374, 618, 120, 155)","[0.6395, 0.6851, 0.1697, 0.237]",True
ZJ002539,train_features/ZJ002539.jpg,S0191,1.0,0.475,"(91, 137, 42, 57)","[0.3694, 0.3625, 0.1805, 0.2083]",True
ZJ002540,train_features/ZJ002540.jpg,S0095,2.0,0.02,"(246, 33, 179, 176)","[0.0302, 0.4481, 0.1916, 0.3462]",True
ZJ002541,train_features/ZJ002541.jpg,S0084,0.0,0.74,"(394, 732, 125, 192)","[0.7583, 0.7222, 0.2083, 0.2462]",True
ZJ002542,train_features/ZJ002542.jpg,S0083,2.0,0.961,"(142, 4, 377, 952)","[0, 0.2555, 1.0, 0.7129]",True
ZJ002543,train_features/ZJ002543.jpg,S0093,1.0,0.691,"(417, 519, 69, 133)","[0.5364, 0.7648, 0.1468, 0.1425]",True
ZJ002544,train_features/ZJ002544.jpg,S0150,3.0,0.427,"(135, 19, 80, 59)","[0.02343, 0.3638, 0.1046, 0.2444]",True
ZJ002545,train_features/ZJ002545.jpg,S0060,2.0,0.799,"(308, 273, 80, 275)","[0.2802, 0.5629, 0.2947, 0.1629]",True
ZJ002546,train_features/ZJ002546.jpg,S0043,3.0,0.784,"(4, 408, 327, 228)","[0.6312, 0, 0.3687, 1.0]",True
ZJ002547,train_features/ZJ002547.jpg,S0060,2.0,,,,False
ZJ002548,train_features/ZJ002548.jpg,S0049,3.0,0.4,"(214, 528, 40, 62)","[0.8187, 0.5833, 0.1093, 0.1333]",True
ZJ002549,train_features/ZJ002549.jpg,S0173,1.0,0.798,"(224, 54, 105, 53)","[0.07812, 0.6567, 0.09531, 0.3373]",True
ZJ002550,train_features/ZJ002550.jpg,S0077,1.0,0.0596,"(244, 467, 19, 51)","[0.7234, 0.6666, 0.09218, 0.075]",True
ZJ002551,train_features/ZJ002551.jpg,S0117,4.0,0.102,"(372, 511, 89, 180)","[0.5281, 0.6814, 0.1958, 0.1796]",True
ZJ002552,train_features/ZJ002552.jpg,S0080,1.0,0.0585,"(33, 122, 11, 3)","[0.7375, 0.2416, 0.06875, 0.1583]",True
ZJ002553,train_features/ZJ002553.jpg,S0043,3.0,0.481,"(4, 396, 327, 240)","[0.6124, 0, 0.3874, 1.0]",True
ZJ002554,train_features/ZJ002554.jpg,S0080,1.0,0.00614,"(99, 4, 17, 18)","[0, 0.7916, 0.1624, 0.2083]",True
ZJ002555,train_features/ZJ002555.jpg,S0093,1.0,0.0169,"(385, 318, 36, 41)","[0.327, 0.7055, 0.05104, 0.08148]",True
ZJ002556,train_features/ZJ002556.jpg,S0038,1.0,0.39,"(249, 8, 270, 948)","[0.004166, 0.4537, 0.9958, 0.5148]",True
ZJ002557,train_features/ZJ002557.jpg,S0171,4.0,0.0446,"(4, 4, 232, 352)","[0, 0, 1.0, 1.0]",True
ZJ002558,train_features/ZJ002558.jpg,S0022,0.0,0.375,"(241, 4, 115, 144)","[0, 0.6583, 0.2374, 0.3416]",True
ZJ002559,train_features/ZJ002559.jpg,S0036,0.0,0.76,"(192, 249, 57, 99)","[0.3828, 0.5222, 0.1671, 0.1805]",True
ZJ002560,train_features/ZJ002560.jpg,S0130,4.0,0.431,"(243, 21, 61, 106)","[0.02656, 0.6638, 0.1781, 0.1916]",True
ZJ002561,train_features/ZJ002561.jpg,S0062,2.0,0.968,"(5, 351, 514, 605)","[0.3614, 0.001851, 0.6385, 0.9666]",True
ZJ002562,train_features/ZJ002562.jpg,S0013,3.0,0.151,"(6, 541, 349, 95)","[0.839, 0.005555, 0.1609, 0.9916]",True
ZJ002563,train_features/ZJ002563.jpg,S0025,4.0,0.0259,"(5, 4, 304, 416)","[0, 0.002777, 0.6625, 0.8666]",True
ZJ002564,train_features/ZJ002564.jpg,S0089,3.0,0.0932,"(268, 281, 71, 40)","[0.4328, 0.7333, 0.075, 0.2194]",True
ZJ002565,train_features/ZJ002565.jpg,S0133,0.0,0.418,"(128, 365, 227, 271)","[0.564, 0.3444, 0.4359, 0.6527]",True
ZJ002566,train_features/ZJ002566.jpg,S0122,0.0,0.486,"(282, 469, 58, 167)","[0.7265, 0.7722, 0.2734, 0.1833]",True
ZJ002567,train_features/ZJ002567.jpg,S0009,0.0,0.555,"(282, 247, 49, 261)","[0.3796, 0.8298, 0.4203, 0.1701]",True
ZJ002568,train_features/ZJ002568.jpg,S0059,4.0,0.226,"(370, 4, 103, 26)","[0, 0.6777, 0.03541, 0.2055]",True
ZJ002569,train_features/ZJ002569.jpg,S0005,4.0,0.783,"(243, 10, 67, 56)","[0.009374, 0.6638, 0.1, 0.2083]",True
ZJ002570,train_features/ZJ002570.jpg,S0163,2.0,,,,False
ZJ002571,train_features/ZJ002571.jpg,S0160,0.0,0.735,"(154, 4, 183, 296)","[0, 0.4166, 0.4749, 0.5305]",True
ZJ002572,train_features/ZJ002572.jpg,S0177,3.0,0.1,"(4, 338, 229, 18)","[0.9277, 0, 0.07222, 0.9875]",True
ZJ002573,train_features/ZJ002573.jpg,S0134,1.0,0.286,"(489, 38, 31, 368)","[0.03541, 0.8981, 0.3916, 0.07222]",True
ZJ002574,train_features/ZJ002574.jpg,S0060,2.0,0.885,"(19, 4, 499, 256)","[0, 0.02777, 0.275, 0.9388]",True
ZJ002575,train_features/ZJ002575.jpg,S0043,3.0,0.717,"(5, 479, 325, 157)","[0.7421, 0.002985, 0.2578, 0.994]",True
ZJ002576,train_features/ZJ002576.jpg,S0014,4.0,0.264,"(6, 5, 349, 631)","[0.001562, 0.005555, 0.9984, 0.9916]",True
ZJ002577,train_features/ZJ002577.jpg,S0008,4.0,0.443,"(257, 37, 83, 92)","[0.05156, 0.7027, 0.1562, 0.2527]",True
ZJ002578,train_features/ZJ002578.jpg,S0036,0.0,0.971,"(244, 75, 96, 315)","[0.1109, 0.6666, 0.5046, 0.2888]",True
ZJ002579,train_features/ZJ002579.jpg,S0097,3.0,0.913,"(154, 458, 201, 144)","[0.7093, 0.4166, 0.2374, 0.5805]",True
ZJ002580,train_features/ZJ002580.jpg,S0134,1.0,0.854,"(346, 4, 173, 114)","[0, 0.6333, 0.127, 0.3351]",True
ZJ002581,train_features/ZJ002581.jpg,S0063,1.0,0.768,"(334, 4, 85, 29)","[0, 0.6111, 0.03854, 0.1722]",True
ZJ002582,train_features/ZJ002582.jpg,S0009,0.0,0.891,"(166, 475, 173, 161)","[0.7359, 0.45, 0.264, 0.5027]",True
ZJ002583,train_features/ZJ002583.jpg,S0053,3.0,0.918,"(338, 4, 181, 331)","[0, 0.6185, 0.3531, 0.3499]",True
ZJ002584,train_features/ZJ002584.jpg,S0016,1.0,0.756,"(236, 4, 213, 285)","[0, 0.4296, 0.3052, 0.4092]",True
ZJ002585,train_features/ZJ002585.jpg,S0062,2.0,0.86,"(392, 354, 118, 143)","[0.3645, 0.7185, 0.1572, 0.2333]",True
ZJ002586,train_features/ZJ002586.jpg,S0021,2.0,0.00791,"(101, 21, 254, 179)","[0.02656, 0.2694, 0.2921, 0.7277]",True
ZJ002587,train_features/ZJ002587.jpg,S0083,2.0,0.698,"(6, 4, 513, 408)","[0, 0.003703, 0.4333, 0.9648]",True
ZJ002588,train_features/ZJ002588.jpg,S0008,4.0,0.0939,"(255, 4, 84, 268)","[0, 0.6972, 0.4312, 0.2555]",True
ZJ002589,train_features/ZJ002589.jpg,S0063,1.0,0.0451,"(400, 594, 51, 70)","[0.6145, 0.7333, 0.08124, 0.1092]",True
