id,filepath,site,conf,bbox,bbox_normalized,bbox_true
ZJ017793,test_features/ZJ017793.jpg,S0162,0.744,"(242, 304, 277, 195)","[0.3124, 0.4407, 0.2114, 0.5277]",True
ZJ017794,test_features/ZJ017794.jpg,S0128,0.819,"(280, 140, 60, 198)","[0.2124, 0.7666, 0.3218, 0.1888]",True
ZJ017795,test_features/ZJ017795.jpg,S0072,0.261,"(349, 223, 49, 32)","[0.2281, 0.6699, 0.04166, 0.1106]",True
ZJ017796,test_features/ZJ017796.jpg,S0064,0.117,"(377, 210, 118, 369)","[0.2145, 0.6907, 0.3927, 0.2333]",True
ZJ017797,test_features/ZJ017797.jpg,S0033,0.666,"(4, 4, 335, 271)","[0, 0, 0.4359, 0.9527]",True
ZJ017798,test_features/ZJ017798.jpg,S0037,0.647,"(165, 228, 68, 118)","[0.35, 0.4472, 0.1968, 0.2111]",True
ZJ017799,test_features/ZJ017799.jpg,S0162,0.056,"(156, 298, 77, 182)","[0.3062, 0.2814, 0.1979, 0.1574]",True
ZJ017800,test_features/ZJ017800.jpg,S0040,0.943,"(292, 833, 81, 116)","[0.8635, 0.5333, 0.1291, 0.1648]",True
ZJ017801,test_features/ZJ017801.jpg,S0033,0.837,"(84, 337, 255, 299)","[0.5203, 0.2222, 0.4796, 0.7305]",True
ZJ017802,test_features/ZJ017802.jpg,S0194,0.235,"(4, 4, 223, 24)","[0, 0, 0.08888, 0.9624]",True
ZJ017803,test_features/ZJ017803.jpg,S0040,0.898,"(190, 507, 118, 169)","[0.5239, 0.3444, 0.1843, 0.2333]",True
ZJ017804,test_features/ZJ017804.jpg,S0100,,,,False
ZJ017805,test_features/ZJ017805.jpg,S0012,0.00969,"(6, 4, 512, 952)","[0, 0.003703, 1.0, 0.9629]",True
ZJ017806,test_features/ZJ017806.jpg,S0116,0.0288,"(260, 181, 80, 47)","[0.2765, 0.7111, 0.08593, 0.2444]",True
ZJ017807,test_features/ZJ017807.jpg,S0162,0.627,"(244, 710, 39, 116)","[0.7354, 0.4444, 0.1291, 0.08703]",True
ZJ017808,test_features/ZJ017808.jpg,S0041,0.919,"(21, 20, 300, 97)","[0.02499, 0.04722, 0.164, 0.8555]",True
ZJ017809,test_features/ZJ017809.jpg,S0012,0.668,"(229, 417, 72, 121)","[0.4302, 0.4166, 0.1343, 0.1481]",True
ZJ017810,test_features/ZJ017810.jpg,S0128,0.943,"(226, 236, 114, 179)","[0.3624, 0.6166, 0.2921, 0.3388]",True
ZJ017811,test_features/ZJ017811.jpg,S0086,0.724,"(292, 63, 39, 80)","[0.09218, 0.8597, 0.1375, 0.1402]",True
ZJ017812,test_features/ZJ017812.jpg,S0072,0.276,"(183, 320, 95, 61)","[0.3291, 0.3475, 0.07187, 0.2]",True
ZJ017813,test_features/ZJ017813.jpg,S0194,0.484,"(6, 4, 229, 19)","[0, 0.008333, 0.075, 0.9875]",True
ZJ017814,test_features/ZJ017814.jpg,S0066,0.515,"(230, 453, 28, 105)","[0.7015, 0.6277, 0.1765, 0.1]",True
ZJ017815,test_features/ZJ017815.jpg,S0040,0.967,"(27, 7, 424, 708)","[0.003125, 0.04259, 0.7458, 0.8]",True
ZJ017816,test_features/ZJ017816.jpg,S0012,,,,False
ZJ017817,test_features/ZJ017817.jpg,S0072,0.0824,"(377, 522, 45, 45)","[0.5395, 0.6907, 0.0552, 0.09814]",True
ZJ017818,test_features/ZJ017818.jpg,S0065,0.00805,"(4, 4, 337, 632)","[0, 0, 1.0, 0.9583]",True
ZJ017819,test_features/ZJ017819.jpg,S0055,,,,False
ZJ017820,test_features/ZJ017820.jpg,S0040,0.261,"(289, 4, 229, 686)","[0, 0.5277, 0.7229, 0.4388]",True
ZJ017821,test_features/ZJ017821.jpg,S0072,0.0167,"(284, 191, 132, 51)","[0.1947, 0.5185, 0.06145, 0.2592]",True
ZJ017822,test_features/ZJ017822.jpg,S0090,0.218,"(4, 4, 515, 950)","[0, 0, 0.9979, 0.9685]",True
ZJ017823,test_features/ZJ017823.jpg,S0162,,,,False
ZJ017824,test_features/ZJ017824.jpg,S0072,0.943,"(409, 316, 110, 166)","[0.325, 0.7499, 0.1812, 0.2185]",True
ZJ017825,test_features/ZJ017825.jpg,S0072,0.0579,"(156, 4, 363, 106)","[0, 0.2814, 0.1187, 0.687]",True
ZJ017826,test_features/ZJ017826.jpg,S0033,0.642,"(125, 413, 214, 223)","[0.639, 0.3361, 0.3609, 0.6166]",True
ZJ017827,test_features/ZJ017827.jpg,S0111,0.661,"(280, 4, 69, 84)","[0, 0.7666, 0.1437, 0.2138]",True
ZJ017828,test_features/ZJ017828.jpg,S0057,0.0135,"(7, 4, 507, 947)","[0, 0.005555, 0.9947, 0.9537]",True
ZJ017829,test_features/ZJ017829.jpg,S0162,0.944,"(261, 865, 78, 91)","[0.8968, 0.4759, 0.1031, 0.1592]",True
ZJ017830,test_features/ZJ017830.jpg,S0040,0.809,"(99, 748, 334, 156)","[0.7749, 0.1759, 0.1708, 0.6333]",True
ZJ017831,test_features/ZJ017831.jpg,S0116,0.897,"(288, 135, 43, 157)","[0.2046, 0.8477, 0.2578, 0.1522]",True
ZJ017832,test_features/ZJ017832.jpg,S0064,0.214,"(401, 640, 119, 316)","[0.6625, 0.7351, 0.3375, 0.2351]",True
ZJ017833,test_features/ZJ017833.jpg,S0040,0.97,"(48, 4, 394, 738)","[0, 0.08148, 0.777, 0.7444]",True
ZJ017834,test_features/ZJ017834.jpg,S0116,,,,False
ZJ017835,test_features/ZJ017835.jpg,S0072,0.96,"(363, 226, 156, 471)","[0.2312, 0.6648, 0.4989, 0.3037]",True
ZJ017836,test_features/ZJ017836.jpg,S0116,0.886,"(237, 315, 85, 104)","[0.4859, 0.6472, 0.1749, 0.2583]",True
ZJ017837,test_features/ZJ017837.jpg,S0039,0.607,"(407, 4, 112, 215)","[0, 0.7462, 0.2322, 0.2222]",True
ZJ017838,test_features/ZJ017838.jpg,S0064,0.932,"(315, 516, 82, 311)","[0.5333, 0.5759, 0.3322, 0.1666]",True
ZJ017839,test_features/ZJ017839.jpg,S0086,0.024,"(237, 267, 33, 63)","[0.4109, 0.6955, 0.1109, 0.1223]",True
ZJ017840,test_features/ZJ017840.jpg,S0041,0.135,"(174, 4, 61, 21)","[0, 0.4722, 0.04531, 0.1916]",True
ZJ017841,test_features/ZJ017841.jpg,S0100,0.00643,"(94, 534, 50, 54)","[0.8281, 0.25, 0.09687, 0.1611]",True
ZJ017842,test_features/ZJ017842.jpg,S0072,0.0149,"(369, 412, 22, 50)","[0.4249, 0.6759, 0.06041, 0.05555]",True
ZJ017843,test_features/ZJ017843.jpg,S0067,0.138,"(196, 563, 88, 73)","[0.8734, 0.5333, 0.1265, 0.2666]",True
ZJ017844,test_features/ZJ017844.jpg,S0040,0.846,"(207, 327, 84, 190)","[0.3364, 0.3759, 0.2062, 0.1703]",True
ZJ017845,test_features/ZJ017845.jpg,S0111,0.635,"(207, 303, 149, 321)","[0.4671, 0.5638, 0.514, 0.4361]",True
ZJ017846,test_features/ZJ017846.jpg,S0065,0.279,"(168, 185, 73, 109)","[0.2828, 0.4555, 0.1828, 0.2249]",True
ZJ017847,test_features/ZJ017847.jpg,S0100,0.75,"(208, 328, 105, 88)","[0.5062, 0.5666, 0.15, 0.3138]",True
ZJ017848,test_features/ZJ017848.jpg,S0165,0.00638,"(133, 346, 56, 10)","[0.95, 0.5375, 0.05, 0.2666]",True
ZJ017849,test_features/ZJ017849.jpg,S0087,0.00504,"(89, 5, 19, 14)","[0.00625, 0.7083, 0.1375, 0.2249]",True
ZJ017850,test_features/ZJ017850.jpg,S0142,0.291,"(175, 4, 55, 38)","[0, 0.475, 0.07187, 0.1749]",True
ZJ017851,test_features/ZJ017851.jpg,S0072,0.222,"(193, 321, 88, 55)","[0.3302, 0.3669, 0.06562, 0.1864]",True
ZJ017852,test_features/ZJ017852.jpg,S0040,0.484,"(223, 216, 96, 126)","[0.2208, 0.4055, 0.1395, 0.1925]",True
ZJ017853,test_features/ZJ017853.jpg,S0064,0.198,"(368, 358, 123, 202)","[0.3687, 0.674, 0.2187, 0.2425]",True
ZJ017854,test_features/ZJ017854.jpg,S0086,0.149,"(235, 163, 43, 78)","[0.2484, 0.6895, 0.1343, 0.1522]",True
ZJ017855,test_features/ZJ017855.jpg,S0011,,,,False
ZJ017856,test_features/ZJ017856.jpg,S0067,0.421,"(79, 4, 277, 223)","[0, 0.2083, 0.3609, 0.7916]",True
ZJ017857,test_features/ZJ017857.jpg,S0100,0.939,"(191, 211, 148, 123)","[0.3234, 0.5194, 0.2046, 0.4333]",True
ZJ017858,test_features/ZJ017858.jpg,S0040,0.681,"(259, 790, 55, 137)","[0.8187, 0.4722, 0.151, 0.1166]",True
ZJ017859,test_features/ZJ017859.jpg,S0065,0.899,"(178, 212, 161, 178)","[0.325, 0.4833, 0.2906, 0.4694]",True
ZJ017860,test_features/ZJ017860.jpg,S0064,0.382,"(401, 644, 119, 311)","[0.6666, 0.7351, 0.3322, 0.2351]",True
ZJ017861,test_features/ZJ017861.jpg,S0072,0.955,"(385, 415, 134, 142)","[0.4281, 0.7055, 0.1562, 0.2629]",True
ZJ017862,test_features/ZJ017862.jpg,S0086,0.724,"(156, 124, 26, 43)","[0.375, 0.6333, 0.1593, 0.1416]",True
ZJ017863,test_features/ZJ017863.jpg,S0041,0.797,"(141, 465, 127, 101)","[0.7203, 0.3805, 0.1703, 0.375]",True
ZJ017864,test_features/ZJ017864.jpg,S0162,0.114,"(179, 921, 118, 35)","[0.9552, 0.324, 0.04479, 0.2333]",True
ZJ017865,test_features/ZJ017865.jpg,S0033,0.908,"(36, 4, 303, 522)","[0, 0.08888, 0.8281, 0.8638]",True
ZJ017866,test_features/ZJ017866.jpg,S0087,0.0242,"(83, 83, 13, 2)","[0.4937, 0.6583, 0.0625, 0.1749]",True
ZJ017867,test_features/ZJ017867.jpg,S0033,0.602,"(97, 9, 50, 135)","[0.007812, 0.2583, 0.2234, 0.1611]",True
ZJ017868,test_features/ZJ017868.jpg,S0033,0.779,"(79, 35, 260, 235)","[0.04843, 0.2083, 0.3796, 0.7444]",True
ZJ017869,test_features/ZJ017869.jpg,S0072,0.142,"(388, 260, 38, 142)","[0.2666, 0.7111, 0.1562, 0.08518]",True
ZJ017870,test_features/ZJ017870.jpg,S0040,0.13,"(290, 4, 228, 677)","[0, 0.5296, 0.7135, 0.437]",True
ZJ017871,test_features/ZJ017871.jpg,S0126,0.84,"(422, 622, 96, 177)","[0.6437, 0.774, 0.1927, 0.1925]",True
ZJ017872,test_features/ZJ017872.jpg,S0111,0.734,"(182, 347, 36, 58)","[0.5359, 0.4944, 0.1031, 0.1222]",True
ZJ017873,test_features/ZJ017873.jpg,S0128,0.917,"(219, 285, 108, 217)","[0.439, 0.5972, 0.3515, 0.3222]",True
ZJ017874,test_features/ZJ017874.jpg,S0128,0.821,"(185, 185, 62, 51)","[0.2828, 0.5027, 0.09218, 0.1944]",True
ZJ017875,test_features/ZJ017875.jpg,S0086,0.472,"(159, 162, 39, 36)","[0.4937, 0.6458, 0.1375, 0.1958]",True
ZJ017876,test_features/ZJ017876.jpg,S0114,0.553,"(4, 5, 326, 630)","[0.001562, 0, 0.9968, 0.997]",True
ZJ017877,test_features/ZJ017877.jpg,S0082,0.623,"(185, 330, 105, 60)","[0.3395, 0.3351, 0.07083, 0.2092]",True
ZJ017878,test_features/ZJ017878.jpg,S0162,0.152,"(472, 82, 48, 112)","[0.08124, 0.8666, 0.125, 0.1037]",True
ZJ017879,test_features/ZJ017879.jpg,S0091,0.855,"(319, 573, 184, 201)","[0.5927, 0.5833, 0.2177, 0.3555]",True
ZJ017880,test_features/ZJ017880.jpg,S0116,0.0373,"(266, 520, 39, 29)","[0.8062, 0.782, 0.05781, 0.1402]",True
ZJ017881,test_features/ZJ017881.jpg,S0128,0.162,"(128, 368, 52, 28)","[0.5687, 0.3444, 0.05624, 0.1666]",True
ZJ017882,test_features/ZJ017882.jpg,S0114,0.0143,"(223, 336, 58, 78)","[0.5187, 0.6083, 0.1343, 0.1833]",True
ZJ017883,test_features/ZJ017883.jpg,S0033,0.806,"(57, 62, 283, 211)","[0.09062, 0.1472, 0.3421, 0.8083]",True
ZJ017884,test_features/ZJ017884.jpg,S0040,0.507,"(251, 116, 76, 196)","[0.1166, 0.4574, 0.2125, 0.1555]",True
ZJ017885,test_features/ZJ017885.jpg,S0067,0.238,"(99, 286, 197, 350)","[0.4406, 0.2638, 0.5593, 0.5694]",True
ZJ017886,test_features/ZJ017886.jpg,S0011,,,,False
ZJ017887,test_features/ZJ017887.jpg,S0116,0.28,"(260, 444, 52, 80)","[0.6875, 0.7641, 0.1375, 0.1791]",True
ZJ017888,test_features/ZJ017888.jpg,S0040,0.955,"(289, 840, 88, 80)","[0.8708, 0.5277, 0.09166, 0.1777]",True
ZJ017889,test_features/ZJ017889.jpg,S0082,0.733,"(316, 401, 192, 337)","[0.4135, 0.5777, 0.3593, 0.3703]",True
ZJ017890,test_features/ZJ017890.jpg,S0199,0.585,"(108, 4, 45, 108)","[0, 0.4333, 0.3222, 0.2208]",True
ZJ017891,test_features/ZJ017891.jpg,S0041,0.933,"(159, 4, 161, 134)","[0, 0.4305, 0.2218, 0.4694]",True
ZJ017892,test_features/ZJ017892.jpg,S0072,0.929,"(381, 401, 64, 272)","[0.4135, 0.6981, 0.2916, 0.1333]",True
ZJ017893,test_features/ZJ017893.jpg,S0067,0.377,"(160, 378, 44, 61)","[0.5843, 0.4333, 0.1078, 0.1444]",True
ZJ017894,test_features/ZJ017894.jpg,S0126,,,,False
ZJ017895,test_features/ZJ017895.jpg,S0126,0.932,"(415, 526, 102, 171)","[0.5437, 0.7611, 0.1864, 0.2037]",True
ZJ017896,test_features/ZJ017896.jpg,S0066,0.835,"(183, 351, 117, 111)","[0.5421, 0.4972, 0.1859, 0.3472]",True
ZJ017897,test_features/ZJ017897.jpg,S0067,0.703,"(192, 58, 46, 34)","[0.08437, 0.5222, 0.06562, 0.15]",True
ZJ017898,test_features/ZJ017898.jpg,S0041,0.876,"(160, 247, 122, 126)","[0.3796, 0.4333, 0.2093, 0.3611]",True
ZJ017899,test_features/ZJ017899.jpg,S0166,,,,False
ZJ017900,test_features/ZJ017900.jpg,S0166,0.548,"(168, 365, 147, 271)","[0.564, 0.4555, 0.4359, 0.4305]",True
ZJ017901,test_features/ZJ017901.jpg,S0072,0.734,"(377, 348, 82, 251)","[0.3583, 0.6907, 0.2697, 0.1666]",True
ZJ017902,test_features/ZJ017902.jpg,S0128,0.877,"(252, 454, 37, 73)","[0.7031, 0.6888, 0.1265, 0.125]",True
ZJ017903,test_features/ZJ017903.jpg,S0064,0.889,"(223, 814, 37, 126)","[0.8437, 0.4055, 0.1395, 0.08333]",True
ZJ017904,test_features/ZJ017904.jpg,S0199,0.0782,"(140, 55, 47, 61)","[0.1416, 0.5666, 0.1916, 0.2291]",True
ZJ017905,test_features/ZJ017905.jpg,S0037,0.484,"(186, 225, 70, 84)","[0.3453, 0.5055, 0.1437, 0.2166]",True
ZJ017906,test_features/ZJ017906.jpg,S0011,0.166,"(204, 117, 63, 86)","[0.1765, 0.5555, 0.1468, 0.1972]",True
ZJ017907,test_features/ZJ017907.jpg,S0040,0.97,"(33, 4, 408, 725)","[0, 0.0537, 0.7635, 0.7703]",True
ZJ017908,test_features/ZJ017908.jpg,S0145,,,,False
ZJ017909,test_features/ZJ017909.jpg,S0072,0.031,"(195, 335, 83, 41)","[0.3447, 0.3537, 0.05104, 0.1685]",True
ZJ017910,test_features/ZJ017910.jpg,S0012,0.864,"(274, 351, 143, 327)","[0.3614, 0.4999, 0.3489, 0.2796]",True
ZJ017911,test_features/ZJ017911.jpg,S0011,,,,False
ZJ017912,test_features/ZJ017912.jpg,S0065,0.968,"(120, 4, 219, 257)","[0, 0.3222, 0.414, 0.6305]",True
ZJ017913,test_features/ZJ017913.jpg,S0033,0.391,"(276, 570, 64, 66)","[0.8843, 0.7555, 0.1156, 0.2]",True
ZJ017914,test_features/ZJ017914.jpg,S0040,0.815,"(252, 115, 77, 195)","[0.1156, 0.4592, 0.2114, 0.1574]",True
ZJ017915,test_features/ZJ017915.jpg,S0072,0.805,"(362, 464, 72, 173)","[0.4791, 0.6629, 0.1885, 0.1481]",True
ZJ017916,test_features/ZJ017916.jpg,S0142,0.00797,"(323, 407, 33, 57)","[0.6296, 0.8861, 0.1015, 0.1138]",True
ZJ017917,test_features/ZJ017917.jpg,S0064,0.883,"(222, 815, 38, 126)","[0.8447, 0.4037, 0.1395, 0.08518]",True
ZJ017918,test_features/ZJ017918.jpg,S0067,0.841,"(79, 4, 277, 220)","[0, 0.2083, 0.3562, 0.7916]",True
ZJ017919,test_features/ZJ017919.jpg,S0072,0.0204,"(350, 225, 49, 30)","[0.2302, 0.6407, 0.03958, 0.1055]",True
ZJ017920,test_features/ZJ017920.jpg,S0111,0.847,"(119, 357, 91, 50)","[0.5515, 0.3194, 0.09062, 0.275]",True
ZJ017921,test_features/ZJ017921.jpg,S0162,0.933,"(421, 474, 99, 139)","[0.4895, 0.7722, 0.1531, 0.1981]",True
ZJ017922,test_features/ZJ017922.jpg,S0037,0.949,"(67, 146, 182, 174)","[0.2218, 0.1749, 0.2843, 0.5277]",True
ZJ017923,test_features/ZJ017923.jpg,S0126,0.55,"(456, 398, 63, 150)","[0.4104, 0.837, 0.1645, 0.1314]",True
ZJ017924,test_features/ZJ017924.jpg,S0087,0.0124,"(104, 4, 12, 1)","[0, 0.8333, 0.05624, 0.1666]",True
ZJ017925,test_features/ZJ017925.jpg,S0091,0.903,"(208, 659, 303, 146)","[0.6822, 0.3777, 0.1604, 0.5759]",True
ZJ017926,test_features/ZJ017926.jpg,S0128,0.966,"(234, 4, 106, 141)","[0, 0.6388, 0.2328, 0.3166]",True
ZJ017927,test_features/ZJ017927.jpg,S0033,0.846,"(102, 4, 50, 130)","[0, 0.2722, 0.2156, 0.1611]",True
ZJ017928,test_features/ZJ017928.jpg,S0162,0.0553,"(405, 26, 114, 53)","[0.02291, 0.7425, 0.06354, 0.2259]",True
ZJ017929,test_features/ZJ017929.jpg,S0082,0.914,"(254, 611, 217, 345)","[0.6322, 0.4629, 0.3677, 0.4166]",True
ZJ017930,test_features/ZJ017930.jpg,S0132,0.919,"(5, 4, 350, 76)","[0, 0.002777, 0.1312, 0.9944]",True
ZJ017931,test_features/ZJ017931.jpg,S0064,0.0111,"(432, 4, 87, 146)","[0, 0.7925, 0.1604, 0.1759]",True
ZJ017932,test_features/ZJ017932.jpg,S0040,0.734,"(283, 86, 83, 155)","[0.08541, 0.5166, 0.1697, 0.1685]",True
ZJ017933,test_features/ZJ017933.jpg,S0040,0.409,"(275, 157, 82, 110)","[0.1593, 0.5018, 0.1229, 0.1666]",True
ZJ017934,test_features/ZJ017934.jpg,S0052,0.0288,"(226, 649, 157, 155)","[0.6718, 0.4111, 0.1697, 0.3055]",True
ZJ017935,test_features/ZJ017935.jpg,S0162,0.00978,"(185, 924, 89, 32)","[0.9583, 0.3351, 0.04166, 0.1796]",True
ZJ017936,test_features/ZJ017936.jpg,S0114,0.0169,"(223, 87, 64, 177)","[0.1296, 0.6083, 0.289, 0.2]",True
ZJ017937,test_features/ZJ017937.jpg,S0033,0.771,"(138, 284, 201, 318)","[0.4375, 0.3722, 0.5093, 0.5805]",True
ZJ017938,test_features/ZJ017938.jpg,S0064,0.498,"(409, 760, 110, 196)","[0.7875, 0.7499, 0.2125, 0.2185]",True
ZJ017939,test_features/ZJ017939.jpg,S0072,0.933,"(393, 409, 126, 134)","[0.4218, 0.7203, 0.1479, 0.2481]",True
ZJ017940,test_features/ZJ017940.jpg,S0040,0.976,"(4, 67, 507, 888)","[0.06562, 0, 0.9333, 1.0]",True
ZJ017941,test_features/ZJ017941.jpg,S0162,0.507,"(225, 243, 55, 41)","[0.2489, 0.4092, 0.05104, 0.1166]",True
ZJ017942,test_features/ZJ017942.jpg,S0128,0.00545,"(38, 188, 70, 20)","[0.2874, 0.09444, 0.04374, 0.2166]",True
ZJ017943,test_features/ZJ017943.jpg,S0040,0.965,"(292, 5, 227, 812)","[0.001041, 0.5333, 0.8541, 0.4351]",True
ZJ017944,test_features/ZJ017944.jpg,S0040,0.807,"(83, 756, 373, 133)","[0.7833, 0.1462, 0.1468, 0.7055]",True
ZJ017945,test_features/ZJ017945.jpg,S0199,0.00516,"(87, 167, 41, 9)","[0.4527, 0.3458, 0.04722, 0.2041]",True
ZJ017946,test_features/ZJ017946.jpg,S0072,,,,False
ZJ017947,test_features/ZJ017947.jpg,S0114,0.185,"(4, 4, 327, 249)","[0, 0, 0.4015, 1.0]",True
ZJ017948,test_features/ZJ017948.jpg,S0128,0.816,"(243, 313, 40, 81)","[0.4828, 0.6638, 0.139, 0.1333]",True
ZJ017949,test_features/ZJ017949.jpg,S0128,0.017,"(336, 524, 4, 50)","[0.8125, 0.9222, 0.09062, 0.03333]",True
ZJ017950,test_features/ZJ017950.jpg,S0011,,,,False
ZJ017951,test_features/ZJ017951.jpg,S0114,0.515,"(4, 4, 326, 155)","[0, 0, 0.2546, 0.997]",True
ZJ017952,test_features/ZJ017952.jpg,S0040,0.757,"(245, 453, 43, 89)","[0.4677, 0.4462, 0.101, 0.09444]",True
ZJ017953,test_features/ZJ017953.jpg,S0111,0.73,"(200, 295, 77, 100)","[0.4546, 0.5444, 0.1687, 0.2361]",True
ZJ017954,test_features/ZJ017954.jpg,S0114,0.906,"(8, 4, 322, 632)","[0, 0.01194, 1.0, 0.985]",True
ZJ017955,test_features/ZJ017955.jpg,S0033,0.899,"(89, 337, 250, 299)","[0.5203, 0.2361, 0.4796, 0.7166]",True
ZJ017956,test_features/ZJ017956.jpg,S0058,0.0369,"(60, 158, 26, -2)","[0.9624, 0.4666, 0.0375, 0.2833]",True
ZJ017957,test_features/ZJ017957.jpg,S0082,0.732,"(407, 36, 78, 208)","[0.03333, 0.7462, 0.2249, 0.1592]",True
ZJ017958,test_features/ZJ017958.jpg,S0128,0.881,"(192, 226, 63, 67)","[0.3468, 0.5222, 0.1171, 0.1972]",True
ZJ017959,test_features/ZJ017959.jpg,S0040,0.337,"(291, 4, 227, 679)","[0, 0.5314, 0.7156, 0.4351]",True
ZJ017960,test_features/ZJ017960.jpg,S0116,0.757,"(189, 181, 58, 58)","[0.2765, 0.5138, 0.1031, 0.1833]",True
ZJ017961,test_features/ZJ017961.jpg,S0111,0.604,"(227, 130, 74, 54)","[0.1968, 0.6194, 0.09687, 0.2277]",True
ZJ017962,test_features/ZJ017962.jpg,S0040,0.964,"(152, 140, 153, 528)","[0.1416, 0.274, 0.5583, 0.2981]",True
ZJ017963,test_features/ZJ017963.jpg,S0162,0.364,"(318, 898, 186, 58)","[0.9312, 0.5814, 0.06875, 0.3592]",True
ZJ017964,test_features/ZJ017964.jpg,S0041,0.646,"(20, 4, 335, 602)","[0, 0.04444, 0.9531, 0.9527]",True
ZJ017965,test_features/ZJ017965.jpg,S0116,0.814,"(181, 61, 89, 97)","[0.08906, 0.4916, 0.164, 0.2694]",True
ZJ017966,test_features/ZJ017966.jpg,S0162,0.253,"(379, 897, 93, 59)","[0.9302, 0.6944, 0.06979, 0.187]",True
ZJ017967,test_features/ZJ017967.jpg,S0064,0.843,"(329, 4, 190, 470)","[0, 0.6018, 0.4979, 0.3666]",True
ZJ017968,test_features/ZJ017968.jpg,S0086,0.707,"(140, 112, 96, 116)","[0.3375, 0.5666, 0.3874, 0.4333]",True
ZJ017969,test_features/ZJ017969.jpg,S0100,0.923,"(136, 4, 203, 285)","[0, 0.3666, 0.4578, 0.5861]",True
ZJ017970,test_features/ZJ017970.jpg,S0114,0.686,"(4, 4, 335, 438)","[0, 0, 0.6968, 0.9527]",True
ZJ017971,test_features/ZJ017971.jpg,S0162,0.148,"(407, 4, 113, 81)","[0, 0.7462, 0.0927, 0.224]",True
ZJ017972,test_features/ZJ017972.jpg,S0040,0.129,"(288, 4, 231, 950)","[0, 0.5259, 0.9979, 0.4425]",True
ZJ017973,test_features/ZJ017973.jpg,S0091,0.859,"(282, 197, 169, 159)","[0.201, 0.5148, 0.1739, 0.3277]",True
ZJ017974,test_features/ZJ017974.jpg,S0040,0.911,"(195, 297, 105, 225)","[0.3052, 0.3537, 0.2427, 0.2092]",True
ZJ017975,test_features/ZJ017975.jpg,S0040,0.696,"(237, 860, 75, 96)","[0.8916, 0.4314, 0.1083, 0.1537]",True
ZJ017976,test_features/ZJ017976.jpg,S0162,,,,False
ZJ017977,test_features/ZJ017977.jpg,S0128,0.938,"(283, 330, 57, 120)","[0.5093, 0.7749, 0.2, 0.1805]",True
ZJ017978,test_features/ZJ017978.jpg,S0162,0.699,"(272, 612, 87, 91)","[0.6333, 0.4962, 0.1031, 0.1759]",True
ZJ017979,test_features/ZJ017979.jpg,S0058,0.137,"(44, 4, 67, 73)","[0, 0.3333, 0.5062, 0.625]",True
ZJ017980,test_features/ZJ017980.jpg,S0048,0.813,"(163, 444, 147, 162)","[0.6875, 0.4416, 0.2656, 0.4305]",True
ZJ017981,test_features/ZJ017981.jpg,S0151,0.753,"(242, 222, 58, 114)","[0.3406, 0.6611, 0.1906, 0.1833]",True
ZJ017982,test_features/ZJ017982.jpg,S0111,0.394,"(225, 195, 63, 128)","[0.2984, 0.6138, 0.2125, 0.1972]",True
ZJ017983,test_features/ZJ017983.jpg,S0118,0.193,"(252, 244, 87, 313)","[0.375, 0.6888, 0.5015, 0.2638]",True
ZJ017984,test_features/ZJ017984.jpg,S0040,0.755,"(129, 103, 86, 117)","[0.1031, 0.2314, 0.1302, 0.174]",True
ZJ017985,test_features/ZJ017985.jpg,S0065,0.638,"(328, 311, 12, 77)","[0.4796, 0.8999, 0.1328, 0.05555]",True
ZJ017986,test_features/ZJ017986.jpg,S0086,,,,False
ZJ017987,test_features/ZJ017987.jpg,S0140,0.0183,"(438, 484, 80, 89)","[0.5, 0.8037, 0.101, 0.1629]",True
ZJ017988,test_features/ZJ017988.jpg,S0128,0.655,"(199, 239, 53, 86)","[0.3671, 0.5416, 0.1468, 0.1694]",True
ZJ017989,test_features/ZJ017989.jpg,S0040,0.833,"(206, 323, 85, 192)","[0.3322, 0.374, 0.2083, 0.1722]",True
ZJ017990,test_features/ZJ017990.jpg,S0086,0.805,"(144, 128, 69, 150)","[0.3874, 0.5833, 0.4937, 0.3208]",True
ZJ017991,test_features/ZJ017991.jpg,S0126,0.839,"(426, 571, 94, 115)","[0.5906, 0.7814, 0.1281, 0.1888]",True
ZJ017992,test_features/ZJ017992.jpg,S0100,0.912,"(229, 262, 110, 121)","[0.4031, 0.6249, 0.2015, 0.3277]",True
ZJ017993,test_features/ZJ017993.jpg,S0033,0.25,"(146, 121, 49, 60)","[0.1828, 0.3944, 0.1062, 0.1583]",True
ZJ017994,test_features/ZJ017994.jpg,S0151,0.2,"(5, 58, 350, 577)","[0.08437, 0.002777, 0.914, 0.9944]",True
ZJ017995,test_features/ZJ017995.jpg,S0154,,,,False
ZJ017996,test_features/ZJ017996.jpg,S0040,0.943,"(140, 298, 169, 471)","[0.3062, 0.2518, 0.4989, 0.3277]",True
ZJ017997,test_features/ZJ017997.jpg,S0072,,,,False
ZJ017998,test_features/ZJ017998.jpg,S0040,0.885,"(147, 746, 132, 210)","[0.7729, 0.2648, 0.227, 0.2592]",True
ZJ017999,test_features/ZJ017999.jpg,S0086,0.276,"(153, 203, 18, 25)","[0.6218, 0.6208, 0.1031, 0.1083]",True
ZJ018000,test_features/ZJ018000.jpg,S0033,0.772,"(94, 56, 246, 217)","[0.08125, 0.25, 0.3515, 0.7055]",True
