id,filepath,site,split,conf,bbox,bbox_normalized,bbox_true,bbox_im_size_224
ZJ003391,train_features/ZJ003391.jpg,S0101,1.0,0.211,"(333, 230, 7, 98)","[0.3531, 0.9138, 0.1656, 0.04166]",True,"(209, 83, 1, 29)"
ZJ003392,train_features/ZJ003392.jpg,S0069,3.0,0.743,"(4, 542, 514, 120)","[0.5604, 0, 0.1333, 0.9666]",True,"(4, 130, 209, 22)"
ZJ003393,train_features/ZJ003393.jpg,S0022,0.0,0.236,"(243, 4, 112, 144)","[0, 0.6638, 0.2374, 0.3333]",True,"(153, 4, 67, 45)"
ZJ003394,train_features/ZJ003394.jpg,S0123,0.0,0.55,"(204, 207, 78, 45)","[0.3171, 0.5555, 0.08281, 0.2388]",True,"(128, 75, 45, 11)"
ZJ003395,train_features/ZJ003395.jpg,S0192,3.0,0.621,"(254, 436, 86, 64)","[0.6749, 0.6944, 0.1124, 0.2611]",True,"(160, 155, 50, 17)"
ZJ003396,train_features/ZJ003396.jpg,S0004,2.0,0.946,"(243, 490, 97, 100)","[0.7593, 0.6638, 0.1687, 0.2916]",True,"(153, 174, 57, 30)"
ZJ003397,train_features/ZJ003397.jpg,S0186,4.0,,,,False,
ZJ003398,train_features/ZJ003398.jpg,S0009,0.0,0.00574,"(145, 4, 84, 13)","[0, 0.3916, 0.03281, 0.2555]",True,"(92, 4, 49, -1)"
ZJ003399,train_features/ZJ003399.jpg,S0060,2.0,0.968,"(5, 4, 506, 302)","[0, 0.001851, 0.3229, 0.9518]",True,"(4, 4, 205, 64)"
ZJ003400,train_features/ZJ003400.jpg,S0031,2.0,0.422,"(4, 4, 351, 101)","[0, 0, 0.1703, 0.9972]",True,"(4, 4, 215, 30)"
ZJ003401,train_features/ZJ003401.jpg,S0108,0.0,,,,False,
ZJ003402,train_features/ZJ003402.jpg,S0054,2.0,0.775,"(446, 4, 74, 158)","[0, 0.8185, 0.1729, 0.1518]",True,"(187, 4, 26, 31)"
ZJ003403,train_features/ZJ003403.jpg,S0002,4.0,0.00892,"(242, 4, 15, 8)","[0, 0.6611, 0.025, 0.06388]",True,"(152, 4, 6, -2)"
ZJ003404,train_features/ZJ003404.jpg,S0080,1.0,0.253,"(50, 105, 33, 27)","[0.6312, 0.3833, 0.2187, 0.3416]",True,"(90, 145, 69, 41)"
ZJ003405,train_features/ZJ003405.jpg,S0020,4.0,0.927,"(156, 498, 238, 324)","[0.5145, 0.2814, 0.3458, 0.4555]",True,"(67, 119, 94, 69)"
ZJ003406,train_features/ZJ003406.jpg,S0069,3.0,0.762,"(369, 711, 137, 209)","[0.7364, 0.6759, 0.226, 0.2685]",True,"(155, 169, 52, 43)"
ZJ003407,train_features/ZJ003407.jpg,S0014,4.0,0.818,"(196, 69, 88, 188)","[0.1015, 0.5333, 0.3062, 0.2666]",True,"(123, 27, 52, 61)"
ZJ003408,train_features/ZJ003408.jpg,S0156,0.0,0.933,"(359, 114, 161, 455)","[0.1145, 0.6574, 0.4822, 0.3129]",True,"(151, 30, 62, 100)"
ZJ003409,train_features/ZJ003409.jpg,S0059,4.0,0.95,"(131, 351, 258, 253)","[0.3614, 0.2351, 0.2718, 0.4925]",True,"(57, 85, 102, 53)"
ZJ003410,train_features/ZJ003410.jpg,S0120,2.0,0.883,"(46, 231, 243, 180)","[0.2364, 0.07777, 0.1958, 0.4648]",True,"(21, 57, 96, 36)"
ZJ003411,train_features/ZJ003411.jpg,S0083,2.0,,,,False,
ZJ003412,train_features/ZJ003412.jpg,S0014,4.0,0.872,"(133, 4, 222, 552)","[0, 0.3583, 0.875, 0.6388]",True,"(84, 4, 135, 188)"
ZJ003413,train_features/ZJ003413.jpg,S0038,1.0,0.247,"(201, 4, 315, 578)","[0, 0.3648, 0.6104, 0.5981]",True,"(86, 4, 126, 129)"
ZJ003414,train_features/ZJ003414.jpg,S0120,2.0,0.822,"(4, 581, 515, 375)","[0.601, 0, 0.3989, 0.9685]",True,"(4, 139, 209, 81)"
ZJ003415,train_features/ZJ003415.jpg,S0089,3.0,0.0185,"(297, 83, 43, 43)","[0.1234, 0.8138, 0.07968, 0.1416]",True,"(186, 32, 24, 10)"
ZJ003416,train_features/ZJ003416.jpg,S0027,3.0,0.443,"(265, 581, 59, 55)","[0.9015, 0.725, 0.09843, 0.1861]",True,"(166, 206, 34, 14)"
ZJ003417,train_features/ZJ003417.jpg,S0193,0.0,0.0146,"(201, 113, 17, 56)","[0.3027, 0.8208, 0.1777, 0.1041]",True,"(188, 72, 15, 32)"
ZJ003418,train_features/ZJ003418.jpg,S0014,4.0,0.0449,"(163, 13, 137, 323)","[0.01406, 0.4416, 0.5171, 0.4027]",True,"(103, 7, 82, 108)"
ZJ003419,train_features/ZJ003419.jpg,S0129,1.0,0.323,"(292, 300, 47, 216)","[0.4624, 0.8, 0.3499, 0.1527]",True,"(183, 108, 26, 70)"
ZJ003420,train_features/ZJ003420.jpg,S0010,2.0,0.886,"(178, 206, 45, 104)","[0.3156, 0.4833, 0.1749, 0.1472]",True,"(112, 75, 25, 31)"
ZJ003421,train_features/ZJ003421.jpg,S0004,2.0,0.823,"(299, 550, 24, 37)","[0.8531, 0.8194, 0.07031, 0.08888]",True,"(188, 195, 12, 8)"
ZJ003422,train_features/ZJ003422.jpg,S0014,4.0,0.16,"(4, 127, 313, 456)","[0.1921, 0, 0.725, 0.8916]",True,"(4, 47, 192, 154)"
ZJ003423,train_features/ZJ003423.jpg,S0095,2.0,0.973,"(185, 4, 334, 476)","[0, 0.3351, 0.5041, 0.6333]",True,"(79, 4, 134, 105)"
ZJ003424,train_features/ZJ003424.jpg,S0008,4.0,0.402,"(255, 4, 84, 124)","[0, 0.6972, 0.2062, 0.2555]",True,"(160, 4, 49, 38)"
ZJ003425,train_features/ZJ003425.jpg,S0009,0.0,0.222,"(209, 4, 122, 515)","[0, 0.6119, 0.8171, 0.388]",True,"(141, 4, 79, 175)"
ZJ003426,train_features/ZJ003426.jpg,S0137,2.0,0.424,"(172, 67, 56, 27)","[0.09843, 0.4666, 0.05468, 0.1777]",True,"(109, 26, 32, 4)"
ZJ003427,train_features/ZJ003427.jpg,S0104,1.0,0.44,"(250, 195, 68, 79)","[0.2984, 0.6833, 0.1359, 0.2111]",True,"(157, 71, 39, 22)"
ZJ003428,train_features/ZJ003428.jpg,S0009,0.0,,,,False,
ZJ003429,train_features/ZJ003429.jpg,S0008,4.0,0.3,"(256, 7, 83, 126)","[0.004687, 0.7, 0.2093, 0.2527]",True,"(161, 5, 49, 39)"
ZJ003430,train_features/ZJ003430.jpg,S0136,0.0,0.00615,"(177, 4, 64, 32)","[0, 0.4805, 0.0625, 0.2]",True,"(112, 4, 37, 6)"
ZJ003431,train_features/ZJ003431.jpg,S0026,0.0,0.745,"(231, 16, 51, 214)","[0.01874, 0.6305, 0.3468, 0.1638]",True,"(145, 8, 29, 70)"
ZJ003432,train_features/ZJ003432.jpg,S0009,0.0,0.938,"(129, 237, 164, 121)","[0.364, 0.3472, 0.2015, 0.4777]",True,"(82, 86, 99, 37)"
ZJ003433,train_features/ZJ003433.jpg,S0060,2.0,0.818,"(333, 321, 105, 296)","[0.3302, 0.6092, 0.3166, 0.2092]",True,"(140, 78, 39, 63)"
ZJ003434,train_features/ZJ003434.jpg,S0023,2.0,0.0788,"(227, 120, 30, 52)","[0.1812, 0.6194, 0.09375, 0.1055]",True,"(143, 45, 16, 13)"
ZJ003435,train_features/ZJ003435.jpg,S0175,4.0,0.0278,"(102, 341, 46, 15)","[0.9361, 0.4083, 0.06388, 0.2249]",True,"(95, 214, 42, 6)"
ZJ003436,train_features/ZJ003436.jpg,S0060,2.0,0.875,"(300, 13, 114, 314)","[0.009374, 0.5481, 0.3354, 0.2259]",True,"(127, 6, 43, 67)"
ZJ003437,train_features/ZJ003437.jpg,S0163,2.0,0.431,"(181, 37, 143, 71)","[0.05156, 0.4916, 0.1234, 0.4194]",True,"(114, 16, 86, 20)"
ZJ003438,train_features/ZJ003438.jpg,S0073,3.0,0.642,"(264, 8, 92, 383)","[0.00625, 0.7222, 0.6109, 0.2777]",True,"(166, 5, 54, 129)"
ZJ003439,train_features/ZJ003439.jpg,S0013,3.0,0.371,"(109, 4, 51, 45)","[0, 0.2916, 0.08281, 0.1638]",True,"(69, 4, 29, 11)"
ZJ003440,train_features/ZJ003440.jpg,S0060,2.0,0.589,"(231, 923, 37, 33)","[0.9572, 0.4203, 0.0427, 0.08333]",True,"(98, 218, 11, 2)"
ZJ003441,train_features/ZJ003441.jpg,S0020,4.0,0.475,"(315, 863, 89, 93)","[0.8947, 0.5759, 0.1052, 0.1796]",True,"(133, 204, 32, 16)"
ZJ003442,train_features/ZJ003442.jpg,S0063,1.0,0.566,"(254, 723, 64, 82)","[0.7489, 0.4629, 0.09375, 0.1333]",True,"(108, 172, 22, 13)"
ZJ003443,train_features/ZJ003443.jpg,S0035,3.0,0.913,"(168, 120, 139, 204)","[0.1812, 0.4555, 0.3312, 0.4083]",True,"(106, 45, 83, 66)"
ZJ003444,train_features/ZJ003444.jpg,S0170,1.0,0.0213,"(4, 4, 219, 352)","[0, 0, 1.0, 0.9458]",True,"(4, 4, 204, 216)"
ZJ003445,train_features/ZJ003445.jpg,S0156,0.0,0.141,"(8, 4, 511, 952)","[0, 0.007407, 1.0, 0.9611]",True,"(6, 4, 207, 216)"
ZJ003446,train_features/ZJ003446.jpg,S0023,2.0,0.0433,"(211, 462, 102, 163)","[0.7156, 0.6179, 0.2671, 0.3283]",True,"(142, 164, 66, 52)"
ZJ003447,train_features/ZJ003447.jpg,S0096,3.0,0.756,"(72, 101, 283, 535)","[0.1515, 0.1888, 0.8484, 0.8083]",True,"(46, 38, 173, 182)"
ZJ003448,train_features/ZJ003448.jpg,S0060,2.0,0.708,"(319, 281, 74, 170)","[0.2885, 0.5833, 0.1854, 0.1518]",True,"(135, 69, 26, 34)"
ZJ003449,train_features/ZJ003449.jpg,S0070,1.0,0.938,"(270, 412, 250, 237)","[0.4249, 0.4925, 0.2552, 0.4777]",True,"(114, 99, 99, 49)"
ZJ003450,train_features/ZJ003450.jpg,S0002,4.0,0.68,"(222, 135, 69, 40)","[0.2046, 0.6055, 0.075, 0.2138]",True,"(140, 50, 40, 9)"
ZJ003451,train_features/ZJ003451.jpg,S0060,2.0,0.963,"(136, 4, 383, 291)","[0, 0.2444, 0.3114, 0.724]",True,"(59, 4, 154, 62)"
ZJ003452,train_features/ZJ003452.jpg,S0062,2.0,0.901,"(416, 119, 71, 234)","[0.1197, 0.7629, 0.252, 0.1462]",True,"(175, 31, 25, 48)"
ZJ003453,train_features/ZJ003453.jpg,S0027,3.0,0.881,"(5, 4, 344, 293)","[0, 0.002777, 0.4703, 0.9777]",True,"(5, 4, 211, 97)"
ZJ003454,train_features/ZJ003454.jpg,S0008,4.0,0.825,"(231, 4, 108, 126)","[0, 0.6305, 0.2093, 0.3222]",True,"(145, 4, 64, 39)"
ZJ003455,train_features/ZJ003455.jpg,S0186,4.0,0.603,"(462, 89, 58, 170)","[0.08854, 0.8481, 0.1854, 0.1222]",True,"(194, 24, 19, 34)"
ZJ003456,train_features/ZJ003456.jpg,S0084,0.0,0.157,"(266, 704, 103, 71)","[0.7291, 0.4851, 0.08229, 0.2055]",True,"(113, 167, 38, 10)"
ZJ003457,train_features/ZJ003457.jpg,S0049,3.0,0.025,"(179, 255, 101, 106)","[0.3921, 0.4861, 0.1781, 0.3027]",True,"(113, 92, 60, 32)"
ZJ003458,train_features/ZJ003458.jpg,S0101,1.0,0.497,"(133, 166, 120, 184)","[0.2531, 0.3583, 0.3, 0.3555]",True,"(84, 61, 72, 59)"
ZJ003459,train_features/ZJ003459.jpg,S0071,1.0,0.714,"(441, 301, 79, 81)","[0.3093, 0.8092, 0.0927, 0.1611]",True,"(185, 73, 28, 13)"
ZJ003460,train_features/ZJ003460.jpg,S0060,2.0,0.927,"(293, 280, 131, 262)","[0.2874, 0.5351, 0.2812, 0.2574]",True,"(124, 68, 50, 55)"
ZJ003461,train_features/ZJ003461.jpg,S0089,3.0,0.841,"(275, 385, 64, 119)","[0.5953, 0.7527, 0.1984, 0.2]",True,"(173, 137, 37, 36)"
ZJ003462,train_features/ZJ003462.jpg,S0002,4.0,0.506,"(230, 241, 31, 37)","[0.3703, 0.6277, 0.07031, 0.1083]",True,"(145, 87, 16, 8)"
ZJ003463,train_features/ZJ003463.jpg,S0123,0.0,0.00568,"(255, 202, 26, 26)","[0.3093, 0.6972, 0.05312, 0.09444]",True,"(160, 73, 13, 4)"
ZJ003464,train_features/ZJ003464.jpg,S0141,3.0,0.73,"(203, 150, 57, 28)","[0.2281, 0.594, 0.05624, 0.194]",True,"(137, 55, 35, 5)"
ZJ003465,train_features/ZJ003465.jpg,S0036,0.0,0.276,"(312, 274, 28, 81)","[0.4218, 0.8555, 0.139, 0.1]",True,"(196, 98, 14, 23)"
ZJ003466,train_features/ZJ003466.jpg,S0013,3.0,0.839,"(213, 85, 74, 115)","[0.1265, 0.5805, 0.1921, 0.2277]",True,"(134, 32, 43, 35)"
ZJ003467,train_features/ZJ003467.jpg,S0036,0.0,,,,False,
ZJ003468,train_features/ZJ003468.jpg,S0081,1.0,0.648,"(342, 369, 19, 53)","[0.3802, 0.6259, 0.06354, 0.05]",True,"(144, 89, 3, 6)"
ZJ003469,train_features/ZJ003469.jpg,S0080,1.0,0.0294,"(89, 4, 26, 152)","[0, 0.7083, 1.0, 0.2833]",True,"(163, 4, 55, 216)"
ZJ003470,train_features/ZJ003470.jpg,S0186,4.0,0.376,"(322, 272, 197, 213)","[0.2791, 0.5888, 0.2302, 0.3796]",True,"(136, 67, 77, 44)"
ZJ003471,train_features/ZJ003471.jpg,S0014,4.0,0.244,"(5, 4, 349, 631)","[0, 0.002777, 0.9984, 0.9916]",True,"(5, 4, 214, 216)"
ZJ003472,train_features/ZJ003472.jpg,S0070,1.0,0.923,"(329, 197, 136, 116)","[0.201, 0.6018, 0.1291, 0.2666]",True,"(139, 49, 52, 21)"
ZJ003473,train_features/ZJ003473.jpg,S0120,2.0,0.609,"(330, 770, 147, 178)","[0.7979, 0.6037, 0.1937, 0.287]",True,"(139, 183, 56, 35)"
ZJ003474,train_features/ZJ003474.jpg,S0070,1.0,0.895,"(366, 158, 154, 81)","[0.1604, 0.6703, 0.0927, 0.3]",True,"(154, 40, 59, 13)"
ZJ003475,train_features/ZJ003475.jpg,S0009,0.0,0.0133,"(175, 128, 37, 47)","[0.1937, 0.475, 0.08593, 0.125]",True,"(110, 47, 20, 11)"
ZJ003476,train_features/ZJ003476.jpg,S0049,3.0,0.0185,"(198, 372, 24, 37)","[0.5749, 0.5388, 0.07031, 0.08888]",True,"(125, 133, 12, 8)"
ZJ003477,train_features/ZJ003477.jpg,S0089,3.0,0.0516,"(283, 4, 55, 68)","[0, 0.775, 0.1187, 0.1749]",True,"(178, 4, 31, 19)"
ZJ003478,train_features/ZJ003478.jpg,S0083,2.0,0.391,"(4, 4, 515, 486)","[0, 0, 0.5145, 0.9685]",True,"(4, 4, 209, 107)"
ZJ003479,train_features/ZJ003479.jpg,S0060,2.0,0.873,"(242, 283, 100, 195)","[0.2906, 0.4407, 0.2114, 0.2]",True,"(103, 69, 37, 39)"
ZJ003480,train_features/ZJ003480.jpg,S0022,0.0,0.0326,"(243, 4, 55, 27)","[0, 0.6638, 0.05468, 0.1749]",True,"(153, 4, 31, 4)"
ZJ003481,train_features/ZJ003481.jpg,S0160,0.0,,,,False,
ZJ003482,train_features/ZJ003482.jpg,S0021,2.0,0.508,"(5, 6, 350, 629)","[0.003124, 0.002777, 0.9953, 0.9944]",True,"(5, 5, 215, 215)"
ZJ003483,train_features/ZJ003483.jpg,S0191,1.0,0.0255,"(14, 7, 211, 343)","[0.008333, 0.04166, 0.975, 0.9125]",True,"(13, 6, 196, 210)"
ZJ003484,train_features/ZJ003484.jpg,S0059,4.0,0.86,"(327, 746, 72, 68)","[0.7729, 0.5981, 0.07916, 0.1481]",True,"(138, 177, 25, 10)"
ZJ003485,train_features/ZJ003485.jpg,S0029,4.0,0.279,"(112, 4, 407, 952)","[0, 0.2, 1.0, 0.7685]",True,"(49, 4, 164, 216)"
ZJ003486,train_features/ZJ003486.jpg,S0022,0.0,0.816,"(217, 284, 118, 121)","[0.4375, 0.5916, 0.2015, 0.3499]",True,"(137, 102, 70, 37)"
ZJ003487,train_features/ZJ003487.jpg,S0062,2.0,0.936,"(257, 620, 100, 173)","[0.6416, 0.4685, 0.1885, 0.2]",True,"(109, 148, 37, 34)"
ZJ003488,train_features/ZJ003488.jpg,S0104,1.0,0.734,"(240, 119, 89, 129)","[0.1796, 0.6555, 0.214, 0.2694]",True,"(151, 44, 52, 40)"
ZJ003489,train_features/ZJ003489.jpg,S0074,0.0,0.0286,"(285, 64, 45, 71)","[0.09374, 0.7805, 0.1234, 0.1472]",True,"(179, 25, 25, 20)"
ZJ003490,train_features/ZJ003490.jpg,S0032,3.0,0.32,"(286, 326, 69, 156)","[0.5031, 0.7833, 0.2562, 0.2138]",True,"(179, 117, 40, 49)"
ZJ003491,train_features/ZJ003491.jpg,S0060,2.0,0.897,"(311, 339, 105, 261)","[0.3489, 0.5685, 0.2802, 0.2092]",True,"(131, 82, 39, 55)"
ZJ003492,train_features/ZJ003492.jpg,S0030,1.0,0.881,"(271, 546, 248, 410)","[0.5645, 0.4944, 0.4354, 0.474]",True,"(115, 130, 98, 90)"
ZJ003493,train_features/ZJ003493.jpg,S0047,2.0,0.22,"(238, 588, 40, 21)","[0.9124, 0.6499, 0.04531, 0.1333]",True,"(150, 208, 22, 2)"
ZJ003494,train_features/ZJ003494.jpg,S0014,4.0,0.906,"(183, 185, 110, 127)","[0.2828, 0.4972, 0.2109, 0.3277]",True,"(115, 67, 65, 39)"
ZJ003495,train_features/ZJ003495.jpg,S0139,4.0,0.531,"(448, 569, 72, 182)","[0.5885, 0.8222, 0.1979, 0.1481]",True,"(188, 136, 25, 36)"
ZJ003496,train_features/ZJ003496.jpg,S0062,2.0,,,,False,
ZJ003497,train_features/ZJ003497.jpg,S0188,3.0,0.571,"(99, 296, 64, 53)","[0.8111, 0.3958, 0.1694, 0.3]",True,"(93, 186, 59, 30)"
ZJ003498,train_features/ZJ003498.jpg,S0059,4.0,0.932,"(360, 325, 160, 491)","[0.3343, 0.6592, 0.5197, 0.3111]",True,"(152, 79, 62, 108)"
ZJ003499,train_features/ZJ003499.jpg,S0113,2.0,,,,False,
ZJ003500,train_features/ZJ003500.jpg,S0062,2.0,0.736,"(294, 608, 42, 156)","[0.6291, 0.537, 0.1708, 0.09259]",True,"(124, 145, 13, 30)"
ZJ003501,train_features/ZJ003501.jpg,S0031,2.0,0.507,"(248, 38, 47, 109)","[0.05312, 0.6777, 0.1828, 0.1527]",True,"(156, 16, 26, 33)"
ZJ003502,train_features/ZJ003502.jpg,S0174,1.0,0.334,"(222, 82, 37, 70)","[0.1218, 0.6055, 0.1218, 0.125]",True,"(140, 31, 20, 19)"
ZJ003503,train_features/ZJ003503.jpg,S0175,4.0,0.0121,"(98, 176, 60, 98)","[0.4777, 0.3916, 0.2944, 0.2833]",True,"(92, 111, 55, 58)"
ZJ003504,train_features/ZJ003504.jpg,S0071,1.0,0.0753,"(312, 120, 89, 211)","[0.1208, 0.5703, 0.2281, 0.1796]",True,"(132, 31, 32, 43)"
ZJ003505,train_features/ZJ003505.jpg,S0136,0.0,0.00847,"(310, 4, 22, 77)","[0, 0.8499, 0.1328, 0.08333]",True,"(194, 4, 11, 22)"
ZJ003506,train_features/ZJ003506.jpg,S0060,2.0,0.827,"(333, 278, 93, 191)","[0.2854, 0.6092, 0.2072, 0.187]",True,"(140, 68, 34, 38)"
ZJ003507,train_features/ZJ003507.jpg,S0038,1.0,0.619,"(5, 4, 514, 779)","[0, 0.001851, 0.8197, 0.9666]",True,"(4, 4, 209, 176)"
ZJ003508,train_features/ZJ003508.jpg,S0021,2.0,0.0125,"(107, 294, 96, 64)","[0.4531, 0.2861, 0.1124, 0.2888]",True,"(68, 105, 57, 17)"
ZJ003509,train_features/ZJ003509.jpg,S0071,1.0,0.808,"(377, 498, 127, 60)","[0.5145, 0.6907, 0.07083, 0.25]",True,"(159, 119, 48, 8)"
ZJ003510,train_features/ZJ003510.jpg,S0062,2.0,0.91,"(205, 751, 132, 94)","[0.7781, 0.3722, 0.1062, 0.2592]",True,"(87, 178, 50, 16)"
ZJ003511,train_features/ZJ003511.jpg,S0068,1.0,,,,False,
ZJ003512,train_features/ZJ003512.jpg,S0069,3.0,0.422,"(4, 392, 515, 83)","[0.4041, 0, 0.09479, 0.9685]",True,"(4, 95, 209, 13)"
ZJ003513,train_features/ZJ003513.jpg,S0188,3.0,0.611,"(112, 182, 123, 124)","[0.4944, 0.4499, 0.3666, 0.5458]",True,"(105, 115, 114, 74)"
ZJ003514,train_features/ZJ003514.jpg,S0081,1.0,0.948,"(369, 4, 150, 329)","[0, 0.6759, 0.351, 0.2925]",True,"(155, 4, 58, 71)"
ZJ003515,train_features/ZJ003515.jpg,S0036,0.0,0.828,"(248, 4, 61, 176)","[0, 0.6777, 0.2874, 0.1916]",True,"(156, 4, 35, 56)"
ZJ003516,train_features/ZJ003516.jpg,S0010,2.0,0.464,"(289, 210, 51, 163)","[0.3218, 0.7916, 0.2671, 0.1638]",True,"(181, 76, 29, 52)"
ZJ003517,train_features/ZJ003517.jpg,S0071,1.0,0.774,"(193, 261, 37, 139)","[0.2677, 0.35, 0.1531, 0.08333]",True,"(82, 64, 11, 26)"
ZJ003518,train_features/ZJ003518.jpg,S0186,4.0,0.662,"(441, 626, 78, 131)","[0.6479, 0.8092, 0.1447, 0.1592]",True,"(185, 149, 28, 24)"
ZJ003519,train_features/ZJ003519.jpg,S0015,2.0,0.199,"(4, 4, 351, 364)","[0, 0, 0.5812, 0.9972]",True,"(4, 4, 215, 122)"
ZJ003520,train_features/ZJ003520.jpg,S0063,1.0,0.918,"(218, 146, 272, 217)","[0.1479, 0.3962, 0.2343, 0.5185]",True,"(93, 37, 108, 44)"
ZJ003521,train_features/ZJ003521.jpg,S0063,1.0,0.545,"(366, 546, 154, 220)","[0.5645, 0.6703, 0.2374, 0.3]",True,"(154, 130, 59, 45)"
ZJ003522,train_features/ZJ003522.jpg,S0062,2.0,0.36,"(351, 749, 39, 120)","[0.776, 0.6425, 0.1333, 0.08703]",True,"(148, 178, 11, 22)"
ZJ003523,train_features/ZJ003523.jpg,S0110,4.0,0.279,"(159, 485, 62, 90)","[0.7515, 0.4305, 0.1531, 0.1944]",True,"(100, 172, 36, 26)"
ZJ003524,train_features/ZJ003524.jpg,S0063,1.0,0.923,"(212, 463, 163, 295)","[0.4781, 0.3851, 0.3156, 0.3166]",True,"(90, 111, 63, 63)"
ZJ003525,train_features/ZJ003525.jpg,S0070,1.0,0.757,"(431, 203, 88, 427)","[0.2072, 0.7907, 0.4531, 0.1777]",True,"(181, 50, 32, 93)"
ZJ003526,train_features/ZJ003526.jpg,S0063,1.0,0.964,"(281, 746, 162, 210)","[0.7729, 0.5129, 0.227, 0.3148]",True,"(119, 177, 63, 43)"
ZJ003527,train_features/ZJ003527.jpg,S0085,4.0,0.839,"(241, 442, 98, 194)","[0.6843, 0.6583, 0.3156, 0.2944]",True,"(151, 157, 58, 63)"
ZJ003528,train_features/ZJ003528.jpg,S0043,3.0,0.905,"(4, 496, 327, 140)","[0.7687, 0, 0.2312, 1.0]",True,"(4, 176, 216, 44)"
ZJ003529,train_features/ZJ003529.jpg,S0022,0.0,0.281,"(240, 4, 116, 144)","[0, 0.6555, 0.2374, 0.3444]",True,"(151, 4, 69, 45)"
ZJ003530,train_features/ZJ003530.jpg,S0071,1.0,0.943,"(205, 568, 176, 388)","[0.5874, 0.3722, 0.4124, 0.3407]",True,"(87, 136, 68, 84)"
ZJ003531,train_features/ZJ003531.jpg,S0008,4.0,0.782,"(250, 4, 89, 134)","[0, 0.6833, 0.2218, 0.2694]",True,"(157, 4, 52, 42)"
ZJ003532,train_features/ZJ003532.jpg,S0038,1.0,0.208,"(384, 725, 135, 230)","[0.751, 0.7037, 0.2479, 0.2648]",True,"(162, 172, 51, 48)"
ZJ003533,train_features/ZJ003533.jpg,S0186,4.0,0.821,"(219, 137, 108, 139)","[0.1385, 0.3981, 0.1531, 0.2148]",True,"(93, 35, 40, 26)"
ZJ003534,train_features/ZJ003534.jpg,S0021,2.0,0.75,"(139, 315, 145, 123)","[0.4859, 0.3749, 0.2046, 0.425]",True,"(88, 113, 87, 38)"
ZJ003535,train_features/ZJ003535.jpg,S0089,3.0,0.00683,"(301, 318, 39, 72)","[0.4906, 0.825, 0.125, 0.1305]",True,"(189, 114, 21, 20)"
ZJ003536,train_features/ZJ003536.jpg,S0123,0.0,0.0103,"(211, 384, 38, 62)","[0.5937, 0.575, 0.1093, 0.1277]",True,"(133, 137, 21, 16)"
ZJ003537,train_features/ZJ003537.jpg,S0167,4.0,0.00986,"(113, 226, 21, 46)","[0.6166, 0.4541, 0.15, 0.1208]",True,"(106, 142, 19, 26)"
ZJ003538,train_features/ZJ003538.jpg,S0183,0.0,,,,False,
ZJ003539,train_features/ZJ003539.jpg,S0127,3.0,0.0362,"(237, 443, 75, 88)","[0.6859, 0.6472, 0.15, 0.2305]",True,"(149, 158, 44, 26)"
ZJ003540,train_features/ZJ003540.jpg,S0060,2.0,0.868,"(256, 4, 106, 266)","[0, 0.4666, 0.2854, 0.2111]",True,"(109, 4, 39, 56)"
ZJ003541,train_features/ZJ003541.jpg,S0060,2.0,0.848,"(358, 192, 137, 528)","[0.1958, 0.6555, 0.5583, 0.2685]",True,"(151, 48, 52, 117)"
ZJ003542,train_features/ZJ003542.jpg,S0088,1.0,0.504,"(87, 433, 148, 203)","[0.6703, 0.2305, 0.3296, 0.4333]",True,"(56, 154, 89, 66)"
ZJ003543,train_features/ZJ003543.jpg,S0038,1.0,0.358,"(247, 5, 263, 950)","[0.001041, 0.4718, 0.9979, 0.5262]",True,"(110, 4, 110, 216)"
ZJ003544,train_features/ZJ003544.jpg,S0163,2.0,0.764,"(240, 180, 116, 202)","[0.275, 0.6555, 0.3281, 0.3444]",True,"(151, 66, 69, 65)"
ZJ003545,train_features/ZJ003545.jpg,S0059,4.0,0.971,"(139, 530, 379, 426)","[0.5479, 0.25, 0.452, 0.7166]",True,"(60, 127, 153, 93)"
ZJ003546,train_features/ZJ003546.jpg,S0024,2.0,0.17,"(4, 4, 327, 631)","[0, 0, 0.9984, 1.0]",True,"(4, 4, 216, 216)"
ZJ003547,train_features/ZJ003547.jpg,S0014,4.0,0.877,"(192, 47, 92, 196)","[0.06718, 0.5222, 0.3187, 0.2777]",True,"(121, 19, 54, 63)"
ZJ003548,train_features/ZJ003548.jpg,S0061,1.0,,,,False,
ZJ003549,train_features/ZJ003549.jpg,S0038,1.0,0.0197,"(367, 634, 59, 120)","[0.6562, 0.7048, 0.1333, 0.13]",True,"(162, 151, 21, 22)"
ZJ003550,train_features/ZJ003550.jpg,S0129,1.0,,,,False,
ZJ003551,train_features/ZJ003551.jpg,S0095,2.0,0.948,"(249, 38, 243, 182)","[0.03541, 0.4537, 0.1979, 0.4648]",True,"(106, 12, 96, 36)"
ZJ003552,train_features/ZJ003552.jpg,S0120,2.0,0.726,"(316, 248, 90, 142)","[0.2541, 0.5777, 0.1562, 0.1814]",True,"(133, 61, 33, 27)"
ZJ003553,train_features/ZJ003553.jpg,S0027,3.0,0.0221,"(155, 225, 63, 78)","[0.3453, 0.4194, 0.1343, 0.1972]",True,"(98, 81, 36, 22)"
ZJ003554,train_features/ZJ003554.jpg,S0120,2.0,0.841,"(380, 500, 139, 105)","[0.5166, 0.6962, 0.1177, 0.2722]",True,"(160, 120, 53, 18)"
