image_name,file,max_detection_conf,category,conf,bbox,conf_th
ZJ002241,ZJ002241.jpg,0.00576,animal,0.00576,"[0.1343, 0.07499, 0.2781, 0.4416]",False
ZJ002242,ZJ002242.jpg,0.508,animal,0.508,"[0.6527, 0.4833, 0.2305, 0.2708]",False
ZJ002243,ZJ002243.jpg,0.517,animal,0.517,"[0.0552, 0.5351, 0.3885, 0.3277]",False
ZJ002244,ZJ002244.jpg,0.91,animal,0.91,"[0.4333, 0.5481, 0.2614, 0.2129]",True
ZJ002245,ZJ002245.jpg,0.823,animal,0.823,"[0.1765, 0.1944, 0.314, 0.6305]",True
ZJ002246,ZJ002246.jpg,0.89,animal,0.89,"[0.2625, 0, 0.3677, 0.4444]",True
ZJ002247,ZJ002247.jpg,0.839,animal,0.839,"[0.3953, 0.6694, 0.1296, 0.2805]",True
ZJ002248,ZJ002248.jpg,0.748,animal,0.748,"[0.5729, 0.4666, 0.1354, 0.2333]",True
ZJ002249,ZJ002249.jpg,0.478,animal,0.478,"[0.7989, 0.3537, 0.201, 0.3518]",False
ZJ002250,ZJ002250.jpg,0.00531,animal,0.00531,"[0.514, 0.8597, 0.1, 0.1134]",False
ZJ002251,ZJ002251.jpg,0.843,animal,0.843,"[0.5979, 0.3759, 0.2312, 0.2759]",True
ZJ002252,ZJ002252.jpg,0.0193,animal,0.0193,"[0.6812, 0.8888, 0.1062, 0.1083]",False
ZJ002253,ZJ002253.jpg,0.0235,animal,0.0235,"[0, 0.6541, 0.04166, 0.1458]",False
ZJ002254,ZJ002254.jpg,0.538,animal,0.538,"[0.1203, 0.7833, 0.2265, 0.1472]",False
ZJ002255,ZJ002255.jpg,0.77,animal,0.77,"[0.5364, 0.3388, 0.03854, 0.1666]",True
ZJ002256,ZJ002256.jpg,0.88,animal,0.88,"[0.1677, 0.5499, 0.2843, 0.3407]",True
ZJ002257,ZJ002257.jpg,,,,,False
ZJ002258,ZJ002258.jpg,0.0468,animal,0.0468,"[0.2374, 0.4019, 0.7614, 0.5961]",False
ZJ002259,ZJ002259.jpg,0.518,animal,0.518,"[0.8015, 0, 0.1984, 1.0]",False
ZJ002260,ZJ002260.jpg,0.944,animal,0.944,"[0.8562, 0.7111, 0.1208, 0.2574]",True
ZJ002261,ZJ002261.jpg,0.57,animal,0.57,"[0, 0.6527, 0.2281, 0.3]",False
ZJ002262,ZJ002262.jpg,,,,,False
ZJ002263,ZJ002263.jpg,0.652,animal,0.652,"[0.3791, 0.7462, 0.1812, 0.224]",True
ZJ002264,ZJ002264.jpg,0.386,animal,0.386,"[0.9156, 0.8666, 0.07968, 0.08888]",False
ZJ002265,ZJ002265.jpg,0.659,animal,0.659,"[0.8718, 0.5313, 0.1281, 0.4686]",True
ZJ002266,ZJ002266.jpg,0.502,animal,0.502,"[0.3531, 0.7305, 0.1734, 0.08611]",False
ZJ002267,ZJ002267.jpg,0.609,animal,0.609,"[0.6604, 0.1148, 0.2958, 0.437]",True
ZJ002268,ZJ002268.jpg,0.399,animal,0.399,"[0.08854, 0.637, 0.2489, 0.1907]",False
ZJ002269,ZJ002269.jpg,0.871,animal,0.871,"[0.5765, 0.7722, 0.4234, 0.1833]",True
ZJ002270,ZJ002270.jpg,0.0718,animal,0.0718,"[0.1531, 0.2111, 0.1, 0.1092]",False
ZJ002271,ZJ002271.jpg,0.0808,animal,0.0808,"[0, 0.6499, 0.4625, 0.3499]",False
ZJ002272,ZJ002272.jpg,0.936,animal,0.936,"[0.5885, 0.3314, 0.1427, 0.3314]",True
ZJ002273,ZJ002273.jpg,0.775,animal,0.775,"[0.352, 0.5703, 0.2927, 0.2222]",True
ZJ002274,ZJ002274.jpg,0.793,animal,0.793,"[0.1531, 0.04776, 0.8468, 0.9492]",True
ZJ002275,ZJ002275.jpg,0.172,animal,0.172,"[0.3593, 0.7981, 0.09791, 0.1]",False
ZJ002276,ZJ002276.jpg,0.00548,animal,0.00548,"[0.7062, 0.4583, 0.1, 0.1333]",False
ZJ002277,ZJ002277.jpg,0.0108,animal,0.0108,"[0.9515, 0.397, 0.04843, 0.1641]",False
ZJ002278,ZJ002278.jpg,0.882,animal,0.882,"[0, 0, 0.2302, 0.9685]",True
ZJ002279,ZJ002279.jpg,0.834,animal,0.834,"[0.2052, 0.4259, 0.1208, 0.2259]",True
ZJ002280,ZJ002280.jpg,0.581,animal,0.581,"[0.6578, 0.7361, 0.3421, 0.2194]",False
ZJ002281,ZJ002281.jpg,0.851,animal,0.851,"[0.2843, 0.7861, 0.3249, 0.1694]",True
ZJ002282,ZJ002282.jpg,0.0824,animal,0.0824,"[0.2437, 0.4315, 0.1187, 0.2736]",False
ZJ002283,ZJ002283.jpg,0.235,animal,0.235,"[0.7374, 0.5444, 0.2135, 0.1444]",False
ZJ002284,ZJ002284.jpg,0.294,animal,0.294,"[0.8406, 0.6648, 0.05729, 0.1388]",False
ZJ002285,ZJ002285.jpg,0.112,animal,0.112,"[0.3546, 0.5777, 0.08437, 0.2361]",False
ZJ002286,ZJ002286.jpg,0.931,animal,0.931,"[0.426, 0.5574, 0.1822, 0.2407]",True
ZJ002287,ZJ002287.jpg,0.88,animal,0.88,"[0.2203, 0.4555, 0.125, 0.4277]",True
ZJ002288,ZJ002288.jpg,,,,,False
ZJ002289,ZJ002289.jpg,0.957,animal,0.957,"[0, 0, 1.0, 0.997]",True
ZJ002290,ZJ002290.jpg,0.574,animal,0.574,"[0.05468, 0.6972, 0.1531, 0.2555]",False
ZJ002291,ZJ002291.jpg,0.576,animal,0.576,"[0.7708, 0.837, 0.1322, 0.1314]",False
ZJ002292,ZJ002292.jpg,0.801,animal,0.801,"[0.5906, 0.2185, 0.2156, 0.4907]",True
ZJ002293,ZJ002293.jpg,0.927,animal,0.927,"[0.5666, 0.4981, 0.2406, 0.2462]",True
ZJ002294,ZJ002294.jpg,0.892,animal,0.892,"[0.3531, 0.3425, 0.1531, 0.3203]",True
ZJ002295,ZJ002295.jpg,0.0507,animal,0.0507,"[0.6859, 0.9444, 0.1078, 0.05555]",False
ZJ002296,ZJ002296.jpg,0.833,animal,0.833,"[0.3697, 0.7185, 0.1572, 0.174]",True
ZJ002297,ZJ002297.jpg,0.87,animal,0.87,"[0.1234, 0.7055, 0.2156, 0.2444]",True
ZJ002298,ZJ002298.jpg,0.0255,animal,0.0255,"[0.2171, 0.8972, 0.2265, 0.05833]",False
ZJ002299,ZJ002299.jpg,0.959,animal,0.959,"[0, 0.2462, 1.0, 0.7222]",True
ZJ002300,ZJ002300.jpg,0.833,animal,0.833,"[0.4781, 0.6277, 0.2015, 0.3166]",True
ZJ002301,ZJ002301.jpg,0.916,animal,0.916,"[0.2333, 0.6055, 0.1937, 0.2444]",True
ZJ002302,ZJ002302.jpg,0.791,animal,0.791,"[0.5604, 0, 0.1291, 0.9666]",True
ZJ002303,ZJ002303.jpg,0.743,animal,0.743,"[0.6583, 0.5922, 0.1489, 0.1825]",True
ZJ002304,ZJ002304.jpg,0.691,animal,0.691,"[0.2229, 0.6444, 0.3781, 0.2407]",True
ZJ002305,ZJ002305.jpg,0.371,animal,0.371,"[0.8312, 0.8444, 0.1296, 0.1083]",False
ZJ002306,ZJ002306.jpg,0.306,animal,0.306,"[0.5203, 0.6, 0.1265, 0.15]",False
ZJ002307,ZJ002307.jpg,0.343,animal,0.343,"[0, 0.002777, 0.9984, 0.9916]",False
ZJ002308,ZJ002308.jpg,0.908,animal,0.908,"[0.3166, 0.3981, 0.1666, 0.3333]",True
ZJ002309,ZJ002309.jpg,0.954,animal,0.954,"[0, 0.6111, 0.3125, 0.3574]",True
ZJ002310,ZJ002310.jpg,0.877,animal,0.877,"[0.126, 0.3611, 0.1927, 0.4499]",True
ZJ002311,ZJ002311.jpg,0.423,animal,0.423,"[0.8656, 0.8611, 0.05937, 0.09166]",False
ZJ002312,ZJ002312.jpg,,,,,False
ZJ002313,ZJ002313.jpg,0.684,animal,0.684,"[0.6437, 0.7314, 0.3145, 0.1277]",True
ZJ002314,ZJ002314.jpg,0.441,animal,0.441,"[0.2249, 0.4018, 0.06979, 0.07037]",False
ZJ002315,ZJ002315.jpg,0.0129,animal,0.0129,"[0.3555, 0.4624, 0.05, 0.1541]",False
ZJ002316,ZJ002316.jpg,0.776,animal,0.776,"[0.5499, 0.5185, 0.0677, 0.2444]",True
ZJ002317,ZJ002317.jpg,0.439,animal,0.439,"[0.2604, 0.6518, 0.252, 0.1351]",False
ZJ002318,ZJ002318.jpg,0.591,animal,0.591,"[0.3302, 0.5703, 0.09895, 0.3129]",False
ZJ002319,ZJ002319.jpg,0.304,animal,0.304,"[0.2078, 0.6583, 0.1124, 0.1055]",False
ZJ002320,ZJ002320.jpg,0.803,animal,0.803,"[0, 0.2027, 0.1765, 0.75]",True
ZJ002321,ZJ002321.jpg,0.766,animal,0.766,"[0.8958, 0.4407, 0.1041, 0.09629]",True
ZJ002322,ZJ002322.jpg,0.0442,vehicle,0.0442,"[0.3765, 0.8716, 0.4203, 0.1283]",False
ZJ002323,ZJ002323.jpg,0.714,animal,0.714,"[0.3583, 0.8407, 0.07812, 0.1277]",True
ZJ002324,ZJ002324.jpg,0.847,animal,0.847,"[0.7968, 0.2694, 0.2031, 0.6055]",True
ZJ002325,ZJ002325.jpg,0.908,animal,0.908,"[0.8484, 0.4611, 0.1515, 0.3055]",True
ZJ002326,ZJ002326.jpg,0.104,animal,0.104,"[0.1458, 0.65, 0.1979, 0.1944]",False
ZJ002327,ZJ002327.jpg,0.851,animal,0.851,"[0.1406, 0.5629, 0.3104, 0.3037]",True
ZJ002328,ZJ002328.jpg,0.204,animal,0.204,"[0.4624, 0.5164, 0.09062, 0.1343]",False
ZJ002329,ZJ002329.jpg,0.762,animal,0.762,"[0.5078, 0, 0.4921, 1.0]",True
ZJ002330,ZJ002330.jpg,0.911,animal,0.911,"[0.04531, 0.7305, 0.5515, 0.2222]",True
ZJ002331,ZJ002331.jpg,,,,,False
ZJ002332,ZJ002332.jpg,0.0328,animal,0.0328,"[0.1609, 0, 0.8078, 1.0]",False
ZJ002333,ZJ002333.jpg,0.847,animal,0.847,"[0.825, 0.7777, 0.1749, 0.1777]",True
ZJ002334,ZJ002334.jpg,,,,,False
ZJ002335,ZJ002335.jpg,0.906,animal,0.906,"[0.4156, 0.7527, 0.1546, 0.2027]",True
ZJ002336,ZJ002336.jpg,0.606,animal,0.606,"[0, 0.6888, 0.2078, 0.2638]",True
ZJ002337,ZJ002337.jpg,0.218,animal,0.218,"[0.6734, 0, 0.3265, 0.9527]",False
ZJ002338,ZJ002338.jpg,0.85,animal,0.85,"[0.4828, 0.5138, 0.1828, 0.2027]",True
ZJ002339,ZJ002339.jpg,0.325,animal,0.325,"[0.339, 0.6749, 0.1124, 0.1472]",False
ZJ002340,ZJ002340.jpg,0.0166,animal,0.0166,"[0.1364, 0.4485, 0.8614, 0.5514]",False
ZJ002341,ZJ002341.jpg,0.961,animal,0.961,"[0.02187, 0.5944, 0.402, 0.374]",True
ZJ002342,ZJ002342.jpg,0.96,animal,0.96,"[0.4421, 0.6388, 0.3718, 0.3166]",True
ZJ002343,ZJ002343.jpg,0.956,animal,0.956,"[0, 0.4777, 0.3718, 0.4833]",True
ZJ002344,ZJ002344.jpg,0.102,animal,0.102,"[0.826, 0.1537, 0.1739, 0.7092]",False
ZJ002345,ZJ002345.jpg,0.795,animal,0.795,"[0.8114, 0.8277, 0.08437, 0.1407]",True
ZJ002346,ZJ002346.jpg,0.541,animal,0.541,"[0.4453, 0.8083, 0.09687, 0.1472]",False
ZJ002347,ZJ002347.jpg,0.802,animal,0.802,"[0, 0.4462, 0.3354, 0.3185]",True
ZJ002348,ZJ002348.jpg,0.463,person,0.463,"[0.1906, 0.7277, 0.2921, 0.2083]",False
ZJ002349,ZJ002349.jpg,0.122,animal,0.122,"[0.6421, 0.002777, 0.3562, 0.5666]",False
ZJ002350,ZJ002350.jpg,0.923,animal,0.923,"[0, 0.7018, 0.2145, 0.2462]",True
ZJ002351,ZJ002351.jpg,0.11,animal,0.11,"[0.3718, 0.4638, 0.1359, 0.2361]",False
ZJ002352,ZJ002352.jpg,0.882,animal,0.882,"[0.7843, 0.4944, 0.2156, 0.3111]",True
ZJ002353,ZJ002353.jpg,,,,,False
ZJ002354,ZJ002354.jpg,0.747,animal,0.747,"[0.5593, 0.4472, 0.2281, 0.3083]",True
ZJ002355,ZJ002355.jpg,0.0065,animal,0.0065,"[0.7249, 0.6462, 0.03541, 0.06296]",False
ZJ002356,ZJ002356.jpg,0.432,animal,0.432,"[0.1041, 0.6407, 0.2291, 0.2314]",False
ZJ002357,ZJ002357.jpg,0.221,animal,0.221,"[0.2374, 0.9277, 0.08437, 0.07222]",False
ZJ002358,ZJ002358.jpg,0.028,animal,0.028,"[0.7145, 0.4592, 0.2854, 0.5092]",False
ZJ002359,ZJ002359.jpg,0.859,animal,0.859,"[0, 0.537, 0.1802, 0.3296]",True
ZJ002360,ZJ002360.jpg,0.248,animal,0.248,"[0.1296, 0, 0.8703, 0.9361]",False
ZJ002361,ZJ002361.jpg,0.776,animal,0.776,"[0.5927, 0.6314, 0.05833, 0.1055]",True
ZJ002362,ZJ002362.jpg,0.957,animal,0.957,"[0.4906, 0.2481, 0.3437, 0.4888]",True
ZJ002363,ZJ002363.jpg,0.865,animal,0.865,"[0.08854, 0.7518, 0.6614, 0.2185]",True
ZJ002364,ZJ002364.jpg,0.947,animal,0.947,"[0.4687, 0.7648, 0.1135, 0.2037]",True
ZJ002365,ZJ002365.jpg,,,,,False
ZJ002366,ZJ002366.jpg,0.897,animal,0.897,"[0, 0.1916, 0.489, 0.7611]",True
ZJ002367,ZJ002367.jpg,0.811,animal,0.811,"[0.6999, 0.737, 0.1427, 0.1574]",True
ZJ002368,ZJ002368.jpg,0.865,animal,0.865,"[0, 0.7166, 0.277, 0.2518]",True
ZJ002369,ZJ002369.jpg,0.734,animal,0.734,"[0, 0.07777, 0.514, 0.6]",True
ZJ002370,ZJ002370.jpg,0.151,animal,0.151,"[0.7583, 0.7055, 0.2416, 0.2648]",False
ZJ002371,ZJ002371.jpg,0.648,animal,0.648,"[0.7437, 0.02499, 0.1, 0.4027]",True
ZJ002372,ZJ002372.jpg,0.0267,person,0.0267,"[0.002083, 0.1981, 0.9979, 0.7703]",False
ZJ002373,ZJ002373.jpg,0.727,animal,0.727,"[0.002083, 0.5518, 0.2145, 0.1925]",True
ZJ002374,ZJ002374.jpg,0.884,animal,0.884,"[0.7375, 0.3462, 0.1177, 0.1796]",True
ZJ002375,ZJ002375.jpg,0.915,animal,0.915,"[0.5718, 0.6907, 0.1114, 0.2611]",True
ZJ002376,ZJ002376.jpg,0.636,animal,0.636,"[0.3114, 0.4314, 0.2239, 0.2592]",True
ZJ002377,ZJ002377.jpg,0.0209,animal,0.0209,"[0.464, 0.8694, 0.09843, 0.08611]",False
ZJ002378,ZJ002378.jpg,0.613,animal,0.613,"[0.3796, 0.2055, 0.6203, 0.5111]",True
ZJ002379,ZJ002379.jpg,0.266,animal,0.266,"[0, 0.7592, 0.1156, 0.1722]",False
ZJ002380,ZJ002380.jpg,0.845,animal,0.845,"[0.3156, 0.5851, 0.2125, 0.1796]",True
ZJ002381,ZJ002381.jpg,0.637,animal,0.637,"[0.6291, 0.2814, 0.07916, 0.08333]",True
ZJ002382,ZJ002382.jpg,0.312,animal,0.312,"[0.2541, 0.4951, 0.7458, 0.5048]",False
ZJ002383,ZJ002383.jpg,0.944,animal,0.944,"[0.5031, 0.266, 0.4968, 0.732]",True
ZJ002384,ZJ002384.jpg,0.00961,animal,0.00961,"[0.5624, 0, 0.1281, 0.9703]",False
ZJ002385,ZJ002385.jpg,0.835,animal,0.835,"[0.5562, 0.4985, 0.1781, 0.2298]",True
ZJ002386,ZJ002386.jpg,0.057,animal,0.057,"[0, 0.6666, 0.2364, 0.3018]",False
ZJ002387,ZJ002387.jpg,0.641,animal,0.641,"[0.3541, 0.5999, 0.127, 0.2277]",True
ZJ002388,ZJ002388.jpg,,,,,False
ZJ002389,ZJ002389.jpg,0.0204,animal,0.0204,"[0.6093, 0.437, 0.102, 0.1074]",False
ZJ002390,ZJ002390.jpg,0.014,animal,0.014,"[0.5203, 0.9055, 0.07968, 0.05]",False
ZJ002391,ZJ002391.jpg,0.0385,animal,0.0385,"[0.2765, 0.2499, 0.1296, 0.3333]",False
ZJ002392,ZJ002392.jpg,0.732,animal,0.732,"[0.3777, 0.2749, 0.08055, 0.15]",True
ZJ002393,ZJ002393.jpg,0.499,animal,0.499,"[0, 0.6944, 0.2093, 0.2583]",False
ZJ002394,ZJ002394.jpg,0.412,animal,0.412,"[0.6052, 0.8796, 0.05937, 0.09074]",False
ZJ002395,ZJ002395.jpg,0.968,animal,0.968,"[0.5645, 0.2777, 0.3093, 0.524]",True
ZJ002396,ZJ002396.jpg,0.799,animal,0.799,"[0.1979, 0.6148, 0.05416, 0.1333]",True
ZJ002397,ZJ002397.jpg,0.489,animal,0.489,"[0.1125, 0.3944, 0.1416, 0.4129]",False
ZJ002398,ZJ002398.jpg,0.617,animal,0.617,"[0.1578, 0.5166, 0.3609, 0.1888]",True
ZJ002399,ZJ002399.jpg,0.809,animal,0.809,"[0.5302, 0.4944, 0.4229, 0.3111]",True
ZJ002400,ZJ002400.jpg,0.484,animal,0.484,"[0.5671, 0.5, 0.1734, 0.3694]",False
ZJ002401,ZJ002401.jpg,0.951,animal,0.951,"[0.339, 0.09253, 0.6609, 0.9074]",True
ZJ002402,ZJ002402.jpg,0.85,animal,0.85,"[0.8062, 0.4888, 0.07187, 0.2083]",True
ZJ002403,ZJ002403.jpg,0.944,animal,0.944,"[0.07812, 0.4129, 0.3739, 0.4777]",True
ZJ002404,ZJ002404.jpg,0.823,animal,0.823,"[0.04687, 0.5249, 0.3015, 0.2527]",True
ZJ002405,ZJ002405.jpg,0.0261,person,0.0261,"[0.8822, 0, 0.1177, 0.9666]",False
ZJ002406,ZJ002406.jpg,0.356,animal,0.356,"[0.007812, 0.6805, 0.3687, 0.2416]",False
ZJ002407,ZJ002407.jpg,0.137,animal,0.137,"[0.06093, 0.002777, 0.1875, 0.4583]",False
ZJ002408,ZJ002408.jpg,0.736,animal,0.736,"[0.4708, 0.7203, 0.1677, 0.1629]",True
ZJ002409,ZJ002409.jpg,0.415,animal,0.415,"[0.08888, 0.3583, 0.125, 0.1041]",False
ZJ002410,ZJ002410.jpg,0.162,animal,0.162,"[0.09843, 0.725, 0.1093, 0.2194]",False
ZJ002411,ZJ002411.jpg,0.726,animal,0.726,"[0.1828, 0.6194, 0.2687, 0.1416]",True
ZJ002412,ZJ002412.jpg,0.855,animal,0.855,"[0.3395, 0.5888, 0.3052, 0.2314]",True
ZJ002413,ZJ002413.jpg,0.319,animal,0.319,"[0.09895, 0.75, 0.3697, 0.2203]",False
ZJ002414,ZJ002414.jpg,0.0878,animal,0.0878,"[0.01718, 0.6694, 0.1921, 0.2833]",False
ZJ002415,ZJ002415.jpg,0.948,animal,0.948,"[0.06562, 0.7305, 0.5421, 0.2222]",True
ZJ002416,ZJ002416.jpg,0.893,animal,0.893,"[0.1635, 0.6611, 0.09791, 0.3074]",True
ZJ002417,ZJ002417.jpg,0.723,animal,0.723,"[0.2812, 0.6477, 0.1015, 0.2]",True
ZJ002418,ZJ002418.jpg,0.163,animal,0.163,"[0, 0.005555, 0.1859, 0.975]",False
ZJ002419,ZJ002419.jpg,0.455,animal,0.455,"[0.7281, 0.437, 0.07604, 0.06666]",False
ZJ002420,ZJ002420.jpg,0.0182,animal,0.0182,"[0.8093, 0.3611, 0.08854, 0.1296]",False
ZJ002421,ZJ002421.jpg,0.193,animal,0.193,"[0.2333, 0.6541, 0.1138, 0.08333]",False
ZJ002422,ZJ002422.jpg,0.0323,animal,0.0323,"[0.1874, 0.325, 0.2515, 0.4749]",False
ZJ002423,ZJ002423.jpg,0.825,animal,0.825,"[0.551, 0.8349, 0.377, 0.1631]",True
ZJ002424,ZJ002424.jpg,0.489,animal,0.489,"[0.5015, 0.6527, 0.07656, 0.06944]",False
ZJ002425,ZJ002425.jpg,0.88,animal,0.88,"[0.2343, 0.6481, 0.4739, 0.3222]",True
ZJ002426,ZJ002426.jpg,0.853,animal,0.853,"[0.6802, 0.5259, 0.1875, 0.09444]",True
ZJ002427,ZJ002427.jpg,0.94,animal,0.94,"[0.2484, 0.4805, 0.2531, 0.375]",True
ZJ002428,ZJ002428.jpg,0.686,animal,0.686,"[0.4989, 0.6981, 0.06145, 0.1537]",True
ZJ002429,ZJ002429.jpg,0.926,animal,0.926,"[0.4265, 0.5492, 0.1656, 0.4507]",True
ZJ002430,ZJ002430.jpg,0.949,animal,0.949,"[0.6828, 0.4361, 0.3171, 0.5638]",True
ZJ002431,ZJ002431.jpg,0.724,animal,0.724,"[0.3083, 0.6629, 0.4604, 0.3055]",True
ZJ002432,ZJ002432.jpg,0.589,animal,0.589,"[0.2072, 0.6148, 0.2833, 0.2574]",False
ZJ002433,ZJ002433.jpg,0.873,animal,0.873,"[0.4052, 0.5666, 0.1562, 0.3092]",True
ZJ002434,ZJ002434.jpg,0.812,animal,0.812,"[0, 0.4685, 0.1322, 0.3777]",True
ZJ002435,ZJ002435.jpg,,,,,False
ZJ002436,ZJ002436.jpg,0.00613,animal,0.00613,"[0.001562, 0.01666, 0.9953, 0.9305]",False
ZJ002437,ZJ002437.jpg,0.787,animal,0.787,"[0.6546, 0.7138, 0.1124, 0.1166]",True
ZJ002438,ZJ002438.jpg,0.242,animal,0.242,"[0.2546, 0.5916, 0.08593, 0.1277]",False
ZJ002439,ZJ002439.jpg,0.425,animal,0.425,"[0.4765, 0.6583, 0.1062, 0.07777]",False
ZJ002440,ZJ002440.jpg,0.127,animal,0.127,"[0.03437, 0, 0.964, 0.9944]",False
ZJ002441,ZJ002441.jpg,0.581,animal,0.581,"[0.07291, 0.3018, 0.2781, 0.5407]",False
ZJ002442,ZJ002442.jpg,0.761,animal,0.761,"[0.3194, 0, 0.6805, 0.9875]",True
ZJ002443,ZJ002443.jpg,0.286,animal,0.286,"[0.176, 0.5722, 0.1135, 0.1222]",False
ZJ002444,ZJ002444.jpg,0.28,animal,0.28,"[0.7187, 0.8296, 0.2802, 0.1388]",False
ZJ002445,ZJ002445.jpg,0.405,animal,0.405,"[0, 0.6462, 0.1687, 0.324]",False
ZJ002446,ZJ002446.jpg,0.0533,animal,0.0533,"[0.08437, 0.2777, 0.09687, 0.25]",False
ZJ002447,ZJ002447.jpg,0.477,animal,0.477,"[0.01406, 0.6944, 0.1062, 0.1638]",False
ZJ002448,ZJ002448.jpg,0.827,animal,0.827,"[0.2052, 0.5259, 0.09791, 0.2259]",True
ZJ002449,ZJ002449.jpg,0.0616,animal,0.0616,"[0.277, 0.7388, 0.07291, 0.06481]",False
ZJ002450,ZJ002450.jpg,0.887,animal,0.887,"[0.7125, 0.5944, 0.05781, 0.1833]",True
ZJ002451,ZJ002451.jpg,0.904,animal,0.904,"[0.3859, 0.3805, 0.1546, 0.375]",True
ZJ002452,ZJ002452.jpg,0.0111,animal,0.0111,"[0.7281, 0.08611, 0.1984, 0.3416]",False
ZJ002453,ZJ002453.jpg,,,,,False
ZJ002454,ZJ002454.jpg,0.111,animal,0.111,"[0.8015, 0.7305, 0.08281, 0.1]",False
ZJ002455,ZJ002455.jpg,0.956,animal,0.956,"[0, 0.487, 0.3708, 0.4796]",True
ZJ002456,ZJ002456.jpg,0.906,animal,0.906,"[0.8968, 0.4611, 0.1031, 0.5361]",True
ZJ002457,ZJ002457.jpg,0.837,animal,0.837,"[0.5614, 0, 0.1281, 0.9685]",True
ZJ002458,ZJ002458.jpg,0.741,animal,0.741,"[0.3302, 0.624, 0.07604, 0.1166]",True
ZJ002459,ZJ002459.jpg,0.51,animal,0.51,"[0.07968, 0, 0.8125, 0.997]",False
ZJ002460,ZJ002460.jpg,0.047,animal,0.047,"[0.7874, 0.8444, 0.1, 0.1083]",False
ZJ002461,ZJ002461.jpg,0.795,animal,0.795,"[0.2854, 0.3518, 0.06041, 0.1129]",True
ZJ002462,ZJ002462.jpg,0.267,animal,0.267,"[0.3052, 0.6703, 0.452, 0.3]",False
ZJ002463,ZJ002463.jpg,0.0939,animal,0.0939,"[0.3822, 0.5708, 0.6177, 0.4271]",False
ZJ002464,ZJ002464.jpg,0.147,animal,0.147,"[0.4984, 0.7472, 0.3531, 0.2083]",False
ZJ002465,ZJ002465.jpg,0.706,animal,0.706,"[0.2281, 0.594, 0.05624, 0.197]",True
ZJ002466,ZJ002466.jpg,0.971,animal,0.971,"[0.3609, 0.3083, 0.639, 0.6472]",True
ZJ002467,ZJ002467.jpg,0.836,animal,0.836,"[0, 0.4166, 0.3453, 0.5833]",True
ZJ002468,ZJ002468.jpg,0.931,animal,0.931,"[0.5135, 0.3722, 0.2166, 0.3888]",True
ZJ002469,ZJ002469.jpg,0.9,animal,0.9,"[0.3885, 0.6055, 0.2125, 0.2277]",True
ZJ002470,ZJ002470.jpg,0.91,animal,0.91,"[0.1979, 0.0574, 0.4468, 0.5129]",True
ZJ002471,ZJ002471.jpg,0.619,animal,0.619,"[0.8194, 0.3624, 0.1805, 0.2374]",True
ZJ002472,ZJ002472.jpg,0.271,animal,0.271,"[0.575, 0.2194, 0.425, 0.6861]",False
ZJ002473,ZJ002473.jpg,0.298,animal,0.298,"[0.7645, 0.674, 0.2083, 0.1388]",False
ZJ002474,ZJ002474.jpg,0.0128,person,0.0128,"[0.9671, 0, 0.03281, 0.9583]",False
ZJ002475,ZJ002475.jpg,,,,,False
ZJ002476,ZJ002476.jpg,0.683,animal,0.683,"[0.3546, 0.6333, 0.2187, 0.3222]",True
ZJ002477,ZJ002477.jpg,0.482,person,0.482,"[0.3703, 0.6194, 0.2062, 0.3333]",False
ZJ002478,ZJ002478.jpg,0.84,animal,0.84,"[0.902, 0.524, 0.09791, 0.1759]",True
ZJ002479,ZJ002479.jpg,0.336,animal,0.336,"[0.5875, 0.3555, 0.05624, 0.1611]",False
ZJ002480,ZJ002480.jpg,0.844,animal,0.844,"[0.6531, 0.4314, 0.1354, 0.1648]",True
ZJ002481,ZJ002481.jpg,0.892,animal,0.892,"[0.2875, 0.5333, 0.275, 0.2916]",True
ZJ002482,ZJ002482.jpg,0.345,animal,0.345,"[0.6843, 0.8944, 0.09531, 0.06111]",False
ZJ002483,ZJ002483.jpg,0.937,animal,0.937,"[0.09479, 0.5777, 0.6197, 0.3925]",True
ZJ002484,ZJ002484.jpg,0.852,animal,0.852,"[0.2343, 0.45, 0.6984, 0.5472]",True
ZJ002485,ZJ002485.jpg,0.826,animal,0.826,"[0.5604, 0, 0.1333, 0.9666]",True
ZJ002486,ZJ002486.jpg,0.167,animal,0.167,"[0.1302, 0.5592, 0.1218, 0.1425]",False
ZJ002487,ZJ002487.jpg,0.559,animal,0.559,"[0.2062, 0.6981, 0.1052, 0.1407]",False
ZJ002488,ZJ002488.jpg,0.887,animal,0.887,"[0.2624, 0.5805, 0.4687, 0.4194]",True
ZJ002489,ZJ002489.jpg,0.679,animal,0.679,"[0.3359, 0, 0.664, 0.9527]",True
ZJ002490,ZJ002490.jpg,0.714,animal,0.714,"[0.4083, 0.6444, 0.1895, 0.187]",True
ZJ002491,ZJ002491.jpg,0.677,animal,0.677,"[0, 0.4699, 1.0, 0.53]",True
ZJ002492,ZJ002492.jpg,0.917,animal,0.917,"[0.009374, 0.5518, 0.2062, 0.1962]",True
ZJ002493,ZJ002493.jpg,0.921,animal,0.921,"[0.839, 0.4166, 0.114, 0.1222]",True
ZJ002494,ZJ002494.jpg,0.837,animal,0.837,"[0.2062, 0.4305, 0.3109, 0.5194]",True
